SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-6.7444E+00,-2.6572E+02,2.4985E-03,7.9311E-03,0.0000E+00,4.0000E+00,3.6607E-03,-4.9450E-02,1.4002E-01,-1.4160E-03
3,5.0000E+01,8.7500E+02,-6.7343E+00,-2.6412E+02,2.3400E-03,9.8074E-03,0.0000E+00,4.0000E+00,3.4182E-03,-4.8938E-02,1.1515E-01,3.1150E-03
4,5.0000E+01,8.9000E+02,-6.7516E+00,-2.6245E+02,2.5572E-03,1.0351E-02,0.0000E+00,4.0000E+00,3.9163E-03,-4.8522E-02,1.1901E-01,3.3223E-03
5,5.0000E+01,9.0500E+02,-6.7019E+00,-2.6073E+02,2.6680E-03,1.3430E-02,0.0000E+00,4.0000E+00,4.0903E-03,-4.8385E-02,1.2260E-01,2.4857E-03
6,5.0000E+01,9.2000E+02,-6.6923E+00,-2.5892E+02,2.6840E-03,1.3247E-02,0.0000E+00,4.0000E+00,4.0957E-03,-4.9180E-02,1.2242E-01,1.6787E-03
7,5.0000E+01,9.3500E+02,-6.6228E+00,-2.5722E+02,2.7520E-03,1.0801E-02,0.0000E+00,4.0000E+00,4.2149E-03,-4.9238E-02,1.1965E-01,4.5402E-04
8,5.0000E+01,9.5000E+02,-6.6122E+00,-2.5552E+02,2.6004E-03,9.5411E-03,0.0000E+00,4.0000E+00,3.8948E-03,-4.9914E-02,1.1985E-01,1.8836E-04
9,5.0000E+01,9.6500E+02,-6.5740E+00,-2.5382E+02,2.6663E-03,1.0050E-02,0.0000E+00,4.0000E+00,4.0825E-03,-5.0491E-02,1.1824E-01,6.6210E-04
10,5.0000E+01,9.8000E+02,-6.5271E+00,-2.5217E+02,2.6761E-03,1.2155E-02,0.0000E+00,4.0000E+00,4.0552E-03,-5.1238E-02,1.1678E-01,6.0787E-04
11,5.0000E+01,9.9500E+02,-6.5084E+00,-2.5050E+02,2.9072E-03,1.0270E-02,0.0000E+00,4.0000E+00,4.3967E-03,-5.1086E-02,1.1577E-01,5.8861E-04
12,5.0000E+01,1.0100E+03,-6.4883E+00,-2.4888E+02,2.7104E-03,9.8517E-03,0.0000E+00,4.0000E+00,4.0524E-03,-5.0594E-02,1.1469E-01,1.3090E-03
13,5.0000E+01,1.0250E+03,-6.4506E+00,-2.4725E+02,2.7575E-03,9.1056E-03,0.0000E+00,4.0000E+00,4.1493E-03,-4.9906E-02,1.1489E-01,1.4598E-03
14,5.0000E+01,1.0400E+03,-6.4497E+00,-2.4563E+02,2.7012E-03,9.0603E-03,0.0000E+00,4.0000E+00,4.1396E-03,-4.9545E-02,1.1634E-01,1.1960E-03
15,5.0000E+01,1.0550E+03,-6.4432E+00,-2.4394E+02,2.5186E-03,1.0658E-02,0.0000E+00,4.0000E+00,3.9298E-03,-4.9549E-02,1.1751E-01,1.3011E-03
16,5.0000E+01,1.0700E+03,-6.4187E+00,-2.4228E+02,2.5985E-03,1.1358E-02,0.0000E+00,4.0000E+00,4.0089E-03,-4.9538E-02,1.1767E-01,1.3378E-03
