SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,6.8000E+02,-9.5190E-01,-1.1823E-01,4.3590E-03,3.5076E-02,0.0000E+00,4.0000E+00,5.7925E-03,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,6.9500E+02,-9.4771E-01,-2.0038E-01,4.4522E-03,3.6105E-02,0.0000E+00,4.0000E+00,5.8584E-03,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,7.1000E+02,-8.1263E-01,-1.6390E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
3,5.0000E+01,7.4000E+02,0.0000E+00,0.0000E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
4,5.0000E+01,8.0000E+02,-9.8452E-01,-1.7520E-01,4.6325E-03,5.0657E-02,0.0000E+00,4.0000E+00,6.1333E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.0000E+01,8.1500E+02,-8.1444E-01,-2.1617E-01,4.6233E-03,4.5929E-02,0.0000E+00,4.0000E+00,6.1501E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.0000E+01,8.3000E+02,-8.9412E-01,-2.0841E-01,5.4779E-03,4.2738E-02,0.0000E+00,4.0000E+00,7.1399E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.0000E+01,8.4500E+02,-8.9031E-01,-1.1339E-01,5.6390E-03,5.2801E-02,0.0000E+00,4.0000E+00,7.3554E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,5.0000E+01,8.7500E+02,-8.8539E-01,-9.6670E-02,2.6632E-03,3.3094E-02,0.0000E+00,4.0000E+00,3.5397E-03,-4.2808E-04,-1.0430E-03,-2.7381E-04
9,5.0000E+01,8.9000E+02,-8.9094E-01,-1.4628E-01,2.7372E-03,1.1348E-02,0.0000E+00,4.0000E+00,3.7639E-03,1.9658E-04,-1.6537E-03,-3.3947E-04
10,5.0000E+01,9.0500E+02,-9.1627E-01,-1.7660E-01,2.8280E-03,1.2321E-02,0.0000E+00,4.0000E+00,3.9971E-03,9.7651E-04,-1.6952E-03,2.7901E-04
11,5.0000E+01,9.2000E+02,-9.0606E-01,-1.8865E-01,2.9441E-03,1.4818E-02,0.0000E+00,4.0000E+00,4.1892E-03,1.0473E-03,-9.8077E-04,2.0588E-04
12,5.0000E+01,9.3500E+02,-9.1061E-01,-2.0135E-01,2.9406E-03,1.6137E-02,0.0000E+00,4.0000E+00,4.0429E-03,8.0448E-04,-8.9474E-05,-4.6316E-04
13,5.0000E+01,9.5000E+02,-9.3102E-01,-1.8640E-01,3.1417E-03,1.6993E-02,0.0000E+00,4.0000E+00,4.3080E-03,6.3056E-04,2.1042E-04,-5.3249E-04
14,5.0000E+01,9.6500E+02,-9.3718E-01,-1.8923E-01,3.2273E-03,1.4485E-02,0.0000E+00,4.0000E+00,4.3727E-03,7.5153E-04,4.2179E-04,-2.9402E-04
15,5.0000E+01,9.8000E+02,-9.3284E-01,-1.7130E-01,3.2479E-03,1.3727E-02,0.0000E+00,4.0000E+00,4.4055E-03,6.9588E-04,1.8527E-04,1.3762E-04
16,5.0000E+01,9.9500E+02,-9.1441E-01,-1.8682E-01,3.2238E-03,1.7104E-02,0.0000E+00,4.0000E+00,4.3736E-03,6.3780E-04,-2.7369E-04,6.0836E-05
17,5.0000E+01,1.0100E+03,-9.1033E-01,-1.7926E-01,3.4778E-03,1.9713E-02,0.0000E+00,4.0000E+00,4.6928E-03,5.5148E-04,-5.3547E-04,-4.6290E-04
18,5.0000E+01,1.0250E+03,-9.2203E-01,-1.9482E-01,3.5567E-03,2.3091E-02,0.0000E+00,4.0000E+00,4.8228E-03,6.5212E-04,8.9530E-05,-5.6587E-04
19,5.0000E+01,1.0400E+03,-9.1837E-01,-1.7568E-01,3.5236E-03,2.4962E-02,0.0000E+00,4.0000E+00,4.7503E-03,5.5829E-04,1.5396E-03,-4.9011E-04
20,5.0000E+01,1.0550E+03,-9.1910E-01,-1.5088E-01,3.4195E-03,2.1732E-02,0.0000E+00,4.0000E+00,4.5558E-03,2.7902E-04,6.0026E-04,-3.4903E-04
21,5.0000E+01,1.0700E+03,-9.1179E-01,-1.6329E-01,3.5600E-03,1.8853E-02,0.0000E+00,4.0000E+00,4.8201E-03,-2.2136E-04,-5.2518E-04,-1.6106E-04
22,5.0000E+01,1.0850E+03,-9.1535E-01,-1.7577E-01,3.4199E-03,1.7926E-02,0.0000E+00,4.0000E+00,4.6902E-03,-6.6714E-04,-6.4602E-04,7.7776E-05
23,5.0000E+01,1.1000E+03,-9.0640E-01,-1.8679E-01,3.4247E-03,1.8460E-02,0.0000E+00,4.0000E+00,4.7029E-03,-8.6504E-04,-7.3254E-04,7.2009E-04
24,5.0000E+01,1.1150E+03,-8.7791E-01,-1.9511E-01,3.2435E-03,1.7034E-02,0.0000E+00,4.0000E+00,4.5157E-03,-9.4950E-04,2.1032E-05,4.0626E-04
25,5.0000E+01,1.1300E+03,-8.8534E-01,-1.8164E-01,3.3321E-03,1.7254E-02,0.0000E+00,4.0000E+00,4.6365E-03,-9.9301E-04,8.0470E-04,-1.6172E-04
26,5.0000E+01,1.1450E+03,-8.7675E-01,-1.6693E-01,3.2519E-03,1.8219E-02,0.0000E+00,4.0000E+00,4.5425E-03,-1.1780E-03,2.7512E-04,-1.1867E-04
27,5.0000E+01,1.1600E+03,-8.7822E-01,-1.7274E-01,3.2353E-03,1.7161E-02,0.0000E+00,4.0000E+00,4.5078E-03,-1.0731E-03,-5.0615E-04,-2.0204E-04
28,5.0000E+01,1.1750E+03,-8.7864E-01,-1.8125E-01,3.1355E-03,1.4771E-02,0.0000E+00,4.0000E+00,4.3868E-03,-8.1775E-04,-2.8802E-04,-1.5661E-04
29,5.0000E+01,1.1900E+03,-8.7813E-01,-1.7858E-01,3.5292E-03,1.6001E-02,0.0000E+00,4.0000E+00,4.9369E-03,-2.2650E-04,-3.6109E-04,-3.1115E-04
30,5.0000E+01,1.2050E+03,-8.8371E-01,-1.9149E-01,3.8942E-03,1.5742E-02,0.0000E+00,4.0000E+00,5.3023E-03,7.6180E-05,-3.3136E-04,-3.6925E-04
31,5.0000E+01,1.2200E+03,-8.8131E-01,-1.8542E-01,3.7282E-03,2.0059E-02,0.0000E+00,4.0000E+00,5.1216E-03,4.4558E-04,-1.2143E-04,-4.9928E-04
32,5.0000E+01,1.2350E+03,-8.8910E-01,-1.9470E-01,3.6442E-03,2.0399E-02,0.0000E+00,4.0000E+00,4.8768E-03,4.9593E-04,1.0498E-04,-7.1521E-04
33,5.0000E+01,1.2500E+03,-8.9942E-01,-1.8475E-01,3.6820E-03,2.0154E-02,0.0000E+00,4.0000E+00,4.9358E-03,3.4458E-04,1.3088E-04,-6.6057E-04
34,5.0000E+01,1.2650E+03,-9.0135E-01,-1.9228E-01,3.5037E-03,2.0171E-02,0.0000E+00,4.0000E+00,4.7289E-03,-8.0596E-05,-3.2716E-04,-4.2730E-04
35,5.0000E+01,1.2800E+03,-8.9894E-01,-1.9745E-01,3.5419E-03,1.9600E-02,0.0000E+00,4.0000E+00,4.7982E-03,-4.3208E-04,-1.9330E-04,-1.2357E-04
36,5.0000E+01,1.2950E+03,-8.9572E-01,-2.0234E-01,3.3049E-03,1.7893E-02,0.0000E+00,4.0000E+00,4.5102E-03,-3.7454E-04,4.6783E-04,1.0353E-04
37,5.0000E+01,1.3100E+03,-8.9951E-01,-1.9044E-01,3.4527E-03,1.7632E-02,0.0000E+00,4.0000E+00,4.6571E-03,-1.0362E-04,7.4604E-04,7.0990E-05
38,5.0000E+01,1.3250E+03,-9.0300E-01,-1.8108E-01,3.3743E-03,1.7942E-02,0.0000E+00,4.0000E+00,4.5855E-03,1.9121E-05,-2.9503E-05,4.1182E-05
39,5.0000E+01,1.3400E+03,-9.0174E-01,-1.8657E-01,3.3900E-03,1.7873E-02,0.0000E+00,4.0000E+00,4.5644E-03,-6.3504E-05,-3.0461E-04,-6.4840E-05
40,5.0000E+01,1.3550E+03,-9.0332E-01,-1.8849E-01,3.5318E-03,1.7128E-02,0.0000E+00,4.0000E+00,4.7911E-03,-1.1413E-04,-5.3837E-04,-3.5928E-05
41,5.0000E+01,1.3700E+03,-9.0411E-01,-2.0384E-01,3.5075E-03,1.7356E-02,0.0000E+00,4.0000E+00,4.8056E-03,-1.1793E-05,-4.9528E-04,2.0040E-04
42,5.0000E+01,1.3850E+03,-8.9231E-01,-2.0327E-01,3.5327E-03,1.5761E-02,0.0000E+00,4.0000E+00,4.8913E-03,1.3140E-04,1.3966E-04,-4.6955E-05
43,5.0000E+01,1.4000E+03,-9.0521E-01,-1.9693E-01,3.4697E-03,1.7872E-02,0.0000E+00,4.0000E+00,4.7062E-03,3.3193E-04,5.3240E-04,-3.2501E-04
44,5.0000E+01,1.4150E+03,-9.0921E-01,-1.8687E-01,3.6260E-03,1.6480E-02,0.0000E+00,4.0000E+00,4.8270E-03,3.1549E-04,3.8955E-04,-1.2126E-04
