SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,6.8000E+02,-1.4330E+01,-5.1576E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,6.9500E+02,-9.4771E-01,-2.0038E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,7.1000E+02,-8.1263E-01,-1.6390E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
3,5.0000E+01,7.4000E+02,0.0000E+00,0.0000E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
4,5.0000E+01,8.0000E+02,-3.4857E-01,-1.8006E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
5,5.0000E+01,8.1500E+02,-1.3975E+01,-5.2588E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
6,5.0000E+01,8.3000E+02,-7.6652E+00,-4.7609E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,5.0000E+01,8.4500E+02,-7.8478E+00,-4.7464E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
8,5.0000E+01,8.7500E+02,9.2913E+01,4.1711E+01,2.4707E-03,1.9045E-01,0.0000E+00,4.0000E+00,3.3421E-03,2.2370E-02,-2.7829E-02,2.9528E-02
9,5.0000E+01,8.9000E+02,9.3059E+01,4.2004E+01,2.7094E-03,5.3989E-02,0.0000E+00,4.0000E+00,3.7253E-03,2.0171E-02,-1.9928E-02,1.2220E-02
10,5.0000E+01,9.0500E+02,9.2812E+01,4.1885E+01,2.6648E-03,5.6907E-02,0.0000E+00,4.0000E+00,3.7308E-03,1.6878E-02,-6.6446E-03,-3.5724E-03
11,5.0000E+01,9.2000E+02,9.3049E+01,4.1806E+01,2.8849E-03,7.0250E-02,0.0000E+00,4.0000E+00,4.0466E-03,1.1186E-02,-1.2937E-03,3.7700E-03
12,5.0000E+01,9.3500E+02,9.3185E+01,4.1772E+01,2.8481E-03,6.7488E-02,0.0000E+00,4.0000E+00,3.8859E-03,7.1095E-03,2.0949E-03,3.1372E-03
13,5.0000E+01,9.5000E+02,9.3253E+01,4.1851E+01,2.9699E-03,6.4030E-02,0.0000E+00,4.0000E+00,4.0993E-03,5.7546E-03,2.2200E-03,-4.9010E-04
14,5.0000E+01,9.6500E+02,9.3128E+01,4.1838E+01,3.0225E-03,7.1930E-02,0.0000E+00,4.0000E+00,4.1243E-03,4.8384E-03,2.8035E-03,-1.5631E-03
15,5.0000E+01,9.8000E+02,9.3101E+01,4.1924E+01,3.1305E-03,7.3298E-02,0.0000E+00,4.0000E+00,4.3222E-03,5.1213E-03,4.5544E-03,1.4809E-03
16,5.0000E+01,9.9500E+02,9.3152E+01,4.1967E+01,3.0857E-03,8.9371E-02,0.0000E+00,4.0000E+00,4.2423E-03,4.5069E-03,2.8629E-03,3.8239E-03
17,5.0000E+01,1.0100E+03,9.3283E+01,4.2032E+01,3.4425E-03,7.4628E-02,0.0000E+00,4.0000E+00,4.7312E-03,4.4138E-03,-5.9995E-04,2.7603E-04
18,5.0000E+01,1.0250E+03,9.3156E+01,4.1967E+01,3.1895E-03,9.1931E-02,0.0000E+00,4.0000E+00,4.3997E-03,3.3058E-03,-2.1399E-04,-1.8127E-03
19,5.0000E+01,1.0400E+03,9.3194E+01,4.2030E+01,3.1506E-03,1.0115E-01,0.0000E+00,4.0000E+00,4.3039E-03,1.5705E-03,3.7297E-03,7.1615E-04
20,5.0000E+01,1.0550E+03,9.3260E+01,4.2086E+01,3.1960E-03,9.5150E-02,0.0000E+00,4.0000E+00,4.3286E-03,-8.3935E-04,4.6052E-03,2.8337E-03
21,5.0000E+01,1.0700E+03,9.3431E+01,4.2171E+01,3.3339E-03,6.0177E-02,0.0000E+00,4.0000E+00,4.5859E-03,-3.1059E-03,3.3701E-03,-6.6889E-04
22,5.0000E+01,1.0850E+03,9.3296E+01,4.2200E+01,3.3883E-03,7.0586E-02,0.0000E+00,4.0000E+00,4.6943E-03,-4.3369E-03,3.3390E-03,-3.8417E-03
23,5.0000E+01,1.1000E+03,9.3280E+01,4.2280E+01,3.4300E-03,7.5997E-02,0.0000E+00,4.0000E+00,4.7604E-03,-5.5614E-03,4.8264E-03,-3.7208E-04
