 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
  4326   38.303          -16184          -16055          0.4988;
  4327   38.312          -16030          -15914          0.4988;
  4328   38.321          -15870          -15775          0.4982;
  4329   38.330          -15706          -15639          0.4976;
  4330   38.339          -15537          -15506          0.4976;
  4331   38.347          -15368          -15373          0.4969;
  4332   38.356          -15198          -15239          0.4969;
  4333   38.365          -15028          -15106          0.4963;
  4334   38.374          -14861          -14970          0.4957;
  4335   38.383          -14696          -14832          0.4951;
  4336   38.392          -14534          -14690          0.4951;
  4337   38.401          -14374          -14545          0.4945;
  4338   38.409          -14216          -14395          0.4939;
  4339   38.418          -14059          -14240          0.4933;
