SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-5.9914E+00,-2.9928E+02,2.6143E-03,1.0022E-02,0.0000E+00,4.0000E+00,3.8310E-03,-5.6335E-02,1.2858E-01,3.5301E-03
3,5.0000E+01,8.7500E+02,-5.9412E+00,-2.9747E+02,2.3570E-03,1.2403E-02,0.0000E+00,4.0000E+00,3.4438E-03,-5.6366E-02,1.3171E-01,3.1413E-03
4,5.0000E+01,8.9000E+02,-5.9195E+00,-2.9557E+02,2.5631E-03,1.1834E-02,0.0000E+00,4.0000E+00,3.9252E-03,-5.6961E-02,1.3690E-01,3.4821E-03
5,5.0000E+01,9.0500E+02,-5.8502E+00,-2.9361E+02,2.7733E-03,1.3940E-02,0.0000E+00,4.0000E+00,4.2522E-03,-5.6816E-02,1.4062E-01,2.7177E-03
6,5.0000E+01,9.2000E+02,-5.8406E+00,-2.9158E+02,2.6228E-03,1.4101E-02,0.0000E+00,4.0000E+00,4.0028E-03,-5.6783E-02,1.4028E-01,2.0999E-03
7,5.0000E+01,9.3500E+02,-5.7754E+00,-2.8963E+02,2.7601E-03,1.1016E-02,0.0000E+00,4.0000E+00,4.2282E-03,-5.5955E-02,1.3686E-01,1.2161E-03
8,5.0000E+01,9.5000E+02,-5.7603E+00,-2.8772E+02,2.6786E-03,1.0905E-02,0.0000E+00,4.0000E+00,4.0123E-03,-5.6004E-02,1.3747E-01,1.0168E-03
9,5.0000E+01,9.6500E+02,-5.7276E+00,-2.8577E+02,2.8602E-03,1.1227E-02,0.0000E+00,4.0000E+00,4.3801E-03,-5.6277E-02,1.3762E-01,1.1437E-03
10,5.0000E+01,9.8000E+02,-5.6794E+00,-2.8384E+02,2.8952E-03,1.3368E-02,0.0000E+00,4.0000E+00,4.3887E-03,-5.7236E-02,1.3575E-01,1.2947E-03
11,5.0000E+01,9.9500E+02,-5.6190E+00,-2.8193E+02,2.8418E-03,1.1079E-02,0.0000E+00,4.0000E+00,4.3003E-03,-5.7740E-02,1.3430E-01,1.3542E-03
12,5.0000E+01,1.0100E+03,-5.5831E+00,-2.8006E+02,2.8442E-03,1.0637E-02,0.0000E+00,4.0000E+00,4.2545E-03,-5.7789E-02,1.3257E-01,1.4378E-03
13,5.0000E+01,1.0250E+03,-5.5531E+00,-2.7819E+02,2.7042E-03,1.0083E-02,0.0000E+00,4.0000E+00,4.0712E-03,-5.7328E-02,1.3232E-01,1.6650E-03
14,5.0000E+01,1.0400E+03,-5.5394E+00,-2.7634E+02,2.7267E-03,1.0727E-02,0.0000E+00,4.0000E+00,4.1800E-03,-5.6828E-02,1.3399E-01,1.7831E-03
15,5.0000E+01,1.0550E+03,-5.5226E+00,-2.7442E+02,2.7042E-03,1.1122E-02,0.0000E+00,4.0000E+00,4.2202E-03,-5.6357E-02,1.3564E-01,1.6943E-03
16,5.0000E+01,1.0700E+03,-5.5201E+00,-2.7250E+02,2.8675E-03,1.1304E-02,0.0000E+00,4.0000E+00,4.4246E-03,-5.6138E-02,1.3587E-01,1.4387E-03
