SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-9.1178E+00,-1.3784E+02,2.1157E-03,3.3297E-02,0.0000E+00,4.0000E+00,3.1080E-03,-2.9446E-02,2.8274E-02,2.4100E-03
1,5.0000E+01,8.4500E+02,-9.2437E+00,-1.3703E+02,2.0770E-03,1.1340E-02,0.0000E+00,4.0000E+00,2.9951E-03,-3.1436E-02,5.5286E-02,2.8773E-03
2,5.0000E+01,8.6000E+02,-9.2140E+00,-1.3618E+02,2.2498E-03,7.6606E-03,0.0000E+00,4.0000E+00,3.2908E-03,-2.9704E-02,5.2147E-02,3.8649E-03
3,5.0000E+01,8.7500E+02,-9.1885E+00,-1.3547E+02,2.2013E-03,9.2746E-03,0.0000E+00,4.0000E+00,3.2100E-03,-2.8809E-02,4.9227E-02,2.2408E-03
4,5.0000E+01,8.9000E+02,-9.2245E+00,-1.3473E+02,2.5631E-03,9.7762E-03,0.0000E+00,4.0000E+00,3.9249E-03,-2.7841E-02,5.0669E-02,1.3247E-03
5,5.0000E+01,9.0500E+02,-9.2212E+00,-1.3397E+02,2.7687E-03,1.3250E-02,0.0000E+00,4.0000E+00,4.2400E-03,-2.6154E-02,5.2424E-02,4.9626E-04
6,5.0000E+01,9.2000E+02,-9.2751E+00,-1.3316E+02,2.6168E-03,1.2837E-02,0.0000E+00,4.0000E+00,3.9888E-03,-2.5265E-02,5.3471E-02,3.2835E-04
7,5.0000E+01,9.3500E+02,-9.2294E+00,-1.3239E+02,2.6783E-03,1.0588E-02,0.0000E+00,4.0000E+00,4.0944E-03,-2.4021E-02,5.1845E-02,2.0270E-04
8,5.0000E+01,9.5000E+02,-9.2297E+00,-1.3164E+02,2.3857E-03,8.7812E-03,0.0000E+00,4.0000E+00,3.5698E-03,-2.4033E-02,5.0866E-02,5.9171E-05
9,5.0000E+01,9.6500E+02,-9.2120E+00,-1.3091E+02,2.6663E-03,9.7540E-03,0.0000E+00,4.0000E+00,4.0758E-03,-2.4172E-02,4.9615E-02,2.8559E-04
10,5.0000E+01,9.8000E+02,-9.1803E+00,-1.3019E+02,2.7763E-03,1.1484E-02,0.0000E+00,4.0000E+00,4.1943E-03,-2.5073E-02,4.8224E-02,5.7085E-04
11,5.0000E+01,9.9500E+02,-9.1450E+00,-1.2949E+02,2.8396E-03,1.0265E-02,0.0000E+00,4.0000E+00,4.2750E-03,-2.5576E-02,4.7226E-02,6.6495E-04
12,5.0000E+01,1.0100E+03,-9.1338E+00,-1.2882E+02,2.6944E-03,9.8454E-03,0.0000E+00,4.0000E+00,4.0134E-03,-2.5656E-02,4.7557E-02,1.2627E-03
13,5.0000E+01,1.0250E+03,-9.1014E+00,-1.2811E+02,2.8600E-03,9.4422E-03,0.0000E+00,4.0000E+00,4.2866E-03,-2.5055E-02,4.8889E-02,1.1432E-03
14,5.0000E+01,1.0400E+03,-9.1244E+00,-1.2740E+02,2.7983E-03,9.9268E-03,0.0000E+00,4.0000E+00,4.2768E-03,-2.4409E-02,5.0984E-02,8.6802E-04
