SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-4.3969E+00,-3.5438E+02,2.6299E-03,1.2507E-02,0.0000E+00,4.0000E+00,3.8549E-03,-6.6757E-02,1.5949E-01,4.0802E-03
3,5.0000E+01,8.7500E+02,-4.3370E+00,-3.5218E+02,2.5616E-03,1.5658E-02,0.0000E+00,4.0000E+00,3.7439E-03,-6.6631E-02,1.6342E-01,3.7404E-03
4,5.0000E+01,8.9000E+02,-4.3032E+00,-3.4984E+02,2.7138E-03,1.6694E-02,0.0000E+00,4.0000E+00,4.1559E-03,-6.6061E-02,1.6901E-01,3.4653E-03
5,5.0000E+01,9.0500E+02,-4.2848E+00,-3.4746E+02,2.8804E-03,1.9996E-02,0.0000E+00,4.0000E+00,4.4169E-03,-6.5587E-02,1.7466E-01,2.3054E-03
6,5.0000E+01,9.2000E+02,-4.2433E+00,-3.4495E+02,2.8527E-03,1.9657E-02,0.0000E+00,4.0000E+00,4.3542E-03,-6.5224E-02,1.7343E-01,2.4016E-03
7,5.0000E+01,9.3500E+02,-4.1552E+00,-3.4262E+02,2.9365E-03,1.4432E-02,0.0000E+00,4.0000E+00,4.4994E-03,-6.5041E-02,1.6820E-01,1.4189E-03
8,5.0000E+01,9.5000E+02,-4.1333E+00,-3.4028E+02,2.7986E-03,1.2223E-02,0.0000E+00,4.0000E+00,4.1926E-03,-6.4788E-02,1.6902E-01,1.3840E-03
9,5.0000E+01,9.6500E+02,-4.0974E+00,-3.3793E+02,2.7047E-03,1.3349E-02,0.0000E+00,4.0000E+00,4.1427E-03,-6.4754E-02,1.6721E-01,1.8423E-03
10,5.0000E+01,9.8000E+02,-4.0391E+00,-3.3563E+02,2.6175E-03,1.6488E-02,0.0000E+00,4.0000E+00,3.9696E-03,-6.5566E-02,1.6636E-01,1.7246E-03
11,5.0000E+01,9.9500E+02,-3.9651E+00,-3.3327E+02,2.8176E-03,1.5673E-02,0.0000E+00,4.0000E+00,4.2669E-03,-6.6549E-02,1.6567E-01,1.2792E-03
12,5.0000E+01,1.0100E+03,-3.9278E+00,-3.3101E+02,2.6415E-03,1.4855E-02,0.0000E+00,4.0000E+00,3.9538E-03,-6.7308E-02,1.6363E-01,9.9763E-04
13,5.0000E+01,1.0250E+03,-3.9004E+00,-3.2874E+02,2.8479E-03,1.3108E-02,0.0000E+00,4.0000E+00,4.2902E-03,-6.7327E-02,1.6300E-01,1.9768E-03
14,5.0000E+01,1.0400E+03,-3.8762E+00,-3.2650E+02,2.3932E-03,1.4129E-02,0.0000E+00,4.0000E+00,3.6703E-03,-6.6621E-02,1.6442E-01,2.4853E-03
15,5.0000E+01,1.0550E+03,-3.8726E+00,-3.2416E+02,2.2769E-03,1.5299E-02,0.0000E+00,4.0000E+00,3.5541E-03,-6.6228E-02,1.6771E-01,2.5585E-03
16,5.0000E+01,1.0700E+03,-3.8314E+00,-3.2181E+02,2.5892E-03,1.6144E-02,0.0000E+00,4.0000E+00,3.9961E-03,-6.5749E-02,1.6903E-01,1.6622E-03
