SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-6.8923E+00,-2.3256E+02,2.4843E-03,7.4849E-03,0.0000E+00,4.0000E+00,3.6393E-03,-4.6135E-02,1.1641E-01,-1.5687E-03
3,5.0000E+01,8.7500E+02,-6.8975E+00,-2.3118E+02,2.2848E-03,9.5211E-03,0.0000E+00,4.0000E+00,3.3370E-03,-4.5593E-02,9.8209E-02,1.3381E-03
4,5.0000E+01,8.9000E+02,-6.9012E+00,-2.2973E+02,2.6386E-03,1.0744E-02,0.0000E+00,4.0000E+00,4.0410E-03,-4.4928E-02,1.0060E-01,1.1438E-03
5,5.0000E+01,9.0500E+02,-6.8702E+00,-2.2829E+02,2.5311E-03,1.3099E-02,0.0000E+00,4.0000E+00,3.8801E-03,-4.4345E-02,1.0349E-01,5.3307E-04
6,5.0000E+01,9.2000E+02,-6.8778E+00,-2.2676E+02,2.5235E-03,1.2845E-02,0.0000E+00,4.0000E+00,3.8505E-03,-4.4209E-02,1.0342E-01,8.1922E-04
7,5.0000E+01,9.3500E+02,-6.8138E+00,-2.2532E+02,2.5619E-03,1.0247E-02,0.0000E+00,4.0000E+00,3.9230E-03,-4.3573E-02,1.0073E-01,6.4334E-04
8,5.0000E+01,9.5000E+02,-6.8041E+00,-2.2388E+02,2.5797E-03,9.3674E-03,0.0000E+00,4.0000E+00,3.8635E-03,-4.3730E-02,1.0097E-01,8.7663E-04
9,5.0000E+01,9.6500E+02,-6.7697E+00,-2.2245E+02,2.8127E-03,9.8452E-03,0.0000E+00,4.0000E+00,4.3060E-03,-4.3810E-02,1.0005E-01,7.7494E-04
10,5.0000E+01,9.8000E+02,-6.7640E+00,-2.2102E+02,2.7603E-03,1.1346E-02,0.0000E+00,4.0000E+00,4.1814E-03,-4.4044E-02,9.8740E-02,1.3173E-04
11,5.0000E+01,9.9500E+02,-6.7670E+00,-2.1960E+02,2.8458E-03,9.8935E-03,0.0000E+00,4.0000E+00,4.3018E-03,-4.4091E-02,9.6776E-02,1.2352E-04
12,5.0000E+01,1.0100E+03,-6.7489E+00,-2.1825E+02,2.4844E-03,1.0031E-02,0.0000E+00,4.0000E+00,3.7130E-03,-4.4493E-02,9.5659E-02,1.0571E-03
13,5.0000E+01,1.0250E+03,-6.6994E+00,-2.1688E+02,2.8749E-03,9.5325E-03,0.0000E+00,4.0000E+00,4.3243E-03,-4.4909E-02,9.6613E-02,1.5614E-03
14,5.0000E+01,1.0400E+03,-6.6992E+00,-2.1550E+02,2.8300E-03,9.9055E-03,0.0000E+00,4.0000E+00,4.3359E-03,-4.5050E-02,9.8792E-02,1.9046E-03
15,5.0000E+01,1.0550E+03,-6.6766E+00,-2.1405E+02,2.8324E-03,1.1301E-02,0.0000E+00,4.0000E+00,4.4186E-03,-4.4716E-02,1.0160E-01,1.8112E-03
16,5.0000E+01,1.0700E+03,-6.6680E+00,-2.1257E+02,2.7423E-03,1.1662E-02,0.0000E+00,4.0000E+00,4.2302E-03,-4.4250E-02,1.0100E-01,1.0823E-03
