SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-7.4347E+00,-2.0118E+02,1.9921E-03,3.3604E-02,0.0000E+00,4.0000E+00,2.8781E-03,-3.8667E-02,1.2914E-01,9.2631E-03
2,5.0000E+01,8.6000E+02,-7.3832E+00,-1.9916E+02,2.2071E-03,7.9363E-03,0.0000E+00,4.0000E+00,3.2322E-03,-3.8868E-02,1.0400E-01,6.7719E-03
3,5.0000E+01,8.7500E+02,-7.3724E+00,-1.9802E+02,2.2517E-03,9.4867E-03,0.0000E+00,4.0000E+00,3.2877E-03,-3.9449E-02,8.0392E-02,1.5600E-03
4,5.0000E+01,8.9000E+02,-7.3864E+00,-1.9684E+02,2.6033E-03,1.0544E-02,0.0000E+00,4.0000E+00,3.9871E-03,-3.9113E-02,8.1999E-02,1.5486E-03
5,5.0000E+01,9.0500E+02,-7.3678E+00,-1.9565E+02,2.6543E-03,1.3197E-02,0.0000E+00,4.0000E+00,4.0682E-03,-3.8801E-02,8.4051E-02,1.0637E-03
6,5.0000E+01,9.2000E+02,-7.3716E+00,-1.9439E+02,2.4685E-03,1.3392E-02,0.0000E+00,4.0000E+00,3.7660E-03,-3.8854E-02,8.4039E-02,9.3784E-04
7,5.0000E+01,9.3500E+02,-7.3278E+00,-1.9321E+02,2.6225E-03,1.0583E-02,0.0000E+00,4.0000E+00,4.0148E-03,-3.8574E-02,8.2284E-02,1.4862E-04
8,5.0000E+01,9.5000E+02,-7.3391E+00,-1.9202E+02,2.7196E-03,9.5369E-03,0.0000E+00,4.0000E+00,4.0725E-03,-3.8548E-02,8.3095E-02,1.5135E-04
9,5.0000E+01,9.6500E+02,-7.3332E+00,-1.9082E+02,2.7374E-03,9.8691E-03,0.0000E+00,4.0000E+00,4.1896E-03,-3.8725E-02,8.1873E-02,2.9826E-04
