SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-6.9716E+00,-2.1255E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,8.6000E+02,-6.4869E+00,-2.7679E+02,2.3508E-03,7.4994E-03,0.0000E+00,4.0000E+00,3.4445E-03,-5.3513E-02,1.1924E-01,2.4526E-03
3,5.0000E+01,8.7500E+02,-6.4589E+00,-2.7510E+02,2.3658E-03,8.9629E-03,0.0000E+00,4.0000E+00,3.4562E-03,-5.3372E-02,1.2063E-01,2.1339E-03
4,5.0000E+01,8.9000E+02,-6.4571E+00,-2.7337E+02,2.7355E-03,8.9354E-03,0.0000E+00,4.0000E+00,4.1893E-03,-5.3369E-02,1.2412E-01,2.3176E-03
5,5.0000E+01,9.0500E+02,-6.4187E+00,-2.7158E+02,2.8531E-03,1.1754E-02,0.0000E+00,4.0000E+00,4.3742E-03,-5.2254E-02,1.2839E-01,1.9099E-03
6,5.0000E+01,9.2000E+02,-6.4255E+00,-2.6971E+02,2.6358E-03,1.1596E-02,0.0000E+00,4.0000E+00,4.0223E-03,-5.1580E-02,1.2855E-01,1.3714E-03
7,5.0000E+01,9.3500E+02,-6.3710E+00,-2.6791E+02,2.6947E-03,9.7294E-03,0.0000E+00,4.0000E+00,4.1274E-03,-5.0657E-02,1.2551E-01,6.9766E-04
8,5.0000E+01,9.5000E+02,-6.3528E+00,-2.6615E+02,2.4815E-03,9.7322E-03,0.0000E+00,4.0000E+00,3.7169E-03,-5.1270E-02,1.2501E-01,6.4443E-04
9,5.0000E+01,9.6500E+02,-6.3120E+00,-2.6439E+02,2.5597E-03,1.0355E-02,0.0000E+00,4.0000E+00,3.9194E-03,-5.2067E-02,1.2485E-01,9.3306E-04
10,5.0000E+01,9.8000E+02,-6.2588E+00,-2.6261E+02,2.5828E-03,1.1841E-02,0.0000E+00,4.0000E+00,3.9142E-03,-5.2763E-02,1.2403E-01,6.1685E-04
11,5.0000E+01,9.9500E+02,-6.2454E+00,-2.6085E+02,2.7414E-03,9.4371E-03,0.0000E+00,4.0000E+00,4.1468E-03,-5.2784E-02,1.2246E-01,4.3741E-04
12,5.0000E+01,1.0100E+03,-6.2080E+00,-2.5915E+02,2.4261E-03,8.4224E-03,0.0000E+00,4.0000E+00,3.6279E-03,-5.2301E-02,1.2084E-01,9.4495E-04
13,5.0000E+01,1.0250E+03,-6.1825E+00,-2.5744E+02,2.4275E-03,8.2914E-03,0.0000E+00,4.0000E+00,3.6533E-03,-5.1961E-02,1.1988E-01,1.1319E-03
14,5.0000E+01,1.0400E+03,-6.1809E+00,-2.5577E+02,2.5039E-03,9.0621E-03,0.0000E+00,4.0000E+00,3.8377E-03,-5.1832E-02,1.2148E-01,1.5802E-03
15,5.0000E+01,1.0550E+03,-6.1529E+00,-2.5400E+02,2.5461E-03,1.1015E-02,0.0000E+00,4.0000E+00,3.9730E-03,-5.2183E-02,1.2413E-01,1.6064E-03
16,5.0000E+01,1.0700E+03,-6.1354E+00,-2.5223E+02,2.7194E-03,1.2253E-02,0.0000E+00,4.0000E+00,4.1956E-03,-5.2472E-02,1.2406E-01,1.1116E-03
