SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,4.1000E+02,1.4183E+00,3.3702E-01,5.3007E-03,4.0134E-02,0.0000E+00,4.0000E+00,6.9368E-03,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,4.2500E+02,1.2670E+00,3.0575E-01,5.1786E-03,4.0649E-02,0.0000E+00,4.0000E+00,6.6820E-03,0.0000E+00,0.0000E+00,0.0000E+00
2,5.0000E+01,4.4000E+02,1.2454E+00,2.0905E-01,5.3904E-03,3.9501E-02,0.0000E+00,4.0000E+00,6.8432E-03,0.0000E+00,0.0000E+00,0.0000E+00
3,5.0000E+01,4.5500E+02,1.1709E+00,3.5832E-01,5.5876E-03,4.0228E-02,0.0000E+00,4.0000E+00,7.1912E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,5.0000E+01,4.7000E+02,1.2246E+00,3.2415E-01,5.2977E-03,4.3329E-02,0.0000E+00,4.0000E+00,6.7853E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.0000E+01,4.8500E+02,1.2405E+00,1.9218E-01,6.2933E-03,4.6794E-02,0.0000E+00,4.0000E+00,7.9131E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.0000E+01,5.0000E+02,1.3320E+00,-9.3732E-02,6.3873E-03,5.1181E-02,0.0000E+00,4.0000E+00,7.9338E-03,-1.0055E-01,-6.7135E-03,5.4236E-03
7,5.0000E+01,5.1500E+02,1.3652E+00,-1.0170E-02,6.7592E-03,5.7149E-02,0.0000E+00,4.0000E+00,8.4084E-03,-1.0203E-01,-6.3971E-04,3.8591E-03
8,5.0000E+01,5.3000E+02,1.4454E+00,-8.7051E-02,6.5433E-03,6.4276E-02,0.0000E+00,4.0000E+00,8.1614E-03,-1.0730E-01,-3.4810E-03,-6.0987E-04
9,5.0000E+01,5.4500E+02,1.4277E+00,-6.8606E-02,6.4097E-03,7.5615E-02,0.0000E+00,4.0000E+00,8.1715E-03,-1.0830E-01,2.3061E-03,2.6782E-03
10,5.0000E+01,5.6000E+02,1.5012E+00,-5.6794E-02,5.7991E-03,7.9711E-02,0.0000E+00,4.0000E+00,7.3405E-03,-1.0884E-01,-4.5576E-03,4.7133E-03
11,5.0000E+01,5.7500E+02,1.4973E+00,-2.8286E-01,5.5258E-03,8.1228E-02,0.0000E+00,4.0000E+00,7.0165E-03,-1.0439E-01,-1.6001E-02,3.2176E-03
12,5.0000E+01,5.9000E+02,1.4502E+00,-3.7468E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
13,5.0000E+01,6.0500E+02,1.5846E+00,-3.1454E-01,5.4330E-03,6.6272E-02,0.0000E+00,4.0000E+00,6.8240E-03,0.0000E+00,0.0000E+00,0.0000E+00
14,5.0000E+01,6.2000E+02,0.0000E+00,0.0000E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
15,5.0000E+01,6.3500E+02,1.6328E+00,2.1519E-02,5.0886E-03,5.0163E-02,0.0000E+00,4.0000E+00,6.3469E-03,-7.1167E-02,2.3532E-03,-2.4974E-03
16,5.0000E+01,6.5000E+02,1.6204E+00,5.6862E-02,5.0361E-03,4.6534E-02,0.0000E+00,4.0000E+00,6.3606E-03,-7.1242E-02,1.3641E-03,-1.3026E-03
17,5.0000E+01,6.6500E+02,1.6311E+00,3.9452E-02,5.1004E-03,4.4096E-02,0.0000E+00,4.0000E+00,6.4876E-03,-7.4268E-02,1.4859E-02,-7.5378E-05
18,5.0000E+01,6.8000E+02,1.6112E+00,4.0551E-01,5.9863E-03,4.7249E-02,0.0000E+00,4.0000E+00,7.5749E-03,-7.4086E-02,-5.6494E-03,3.4852E-03
19,5.0000E+01,6.9500E+02,1.6367E+00,-2.1989E-01,5.3706E-03,5.3474E-02,0.0000E+00,4.0000E+00,6.7432E-03,-7.5412E-02,-3.9613E-02,7.7123E-03
20,5.0000E+01,7.1000E+02,1.8197E+00,-6.9934E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
21,5.0000E+01,7.2500E+02,1.6573E+00,-1.0250E-01,4.9015E-03,7.0418E-02,0.0000E+00,4.0000E+00,6.3719E-03,-8.4350E-02,3.8630E-03,-1.3386E-03
22,5.0000E+01,7.4000E+02,1.6660E+00,-2.8372E-02,4.9263E-03,7.5432E-02,0.0000E+00,4.0000E+00,6.4293E-03,-9.4282E-02,4.2241E-03,-4.4134E-03
23,5.0000E+01,7.5500E+02,1.6921E+00,9.7735E-02,5.1460E-03,7.9931E-02,0.0000E+00,4.0000E+00,6.6161E-03,-9.9535E-02,7.5598E-03,-1.5586E-03
24,5.0000E+01,7.7000E+02,1.7198E+00,2.2477E-01,5.6772E-03,7.9688E-02,0.0000E+00,4.0000E+00,7.2301E-03,-8.9812E-02,-7.1722E-03,2.5933E-03
25,5.0000E+01,7.8500E+02,1.6694E+00,-7.7593E-02,4.3242E-03,8.3028E-02,0.0000E+00,4.0000E+00,5.5207E-03,-6.1255E-02,-9.8915E-03,2.9213E-03
26,5.0000E+01,8.0000E+02,1.6313E+00,-3.0421E-02,3.8890E-03,8.7081E-02,0.0000E+00,4.0000E+00,5.0877E-03,-3.0348E-02,1.0291E-02,2.2960E-03
27,5.0000E+01,8.1500E+02,1.5919E+00,1.1998E-01,2.7577E-03,3.9261E-02,0.0000E+00,4.0000E+00,3.7582E-03,-1.1596E-02,9.0284E-03,2.0568E-03
28,5.0000E+01,8.3000E+02,1.6406E+00,1.5969E-01,3.0018E-03,1.8146E-02,0.0000E+00,4.0000E+00,4.1274E-03,-3.6442E-03,8.1057E-04,1.0205E-03
29,5.0000E+01,8.4500E+02,1.6240E+00,1.4654E-01,2.9816E-03,1.2257E-02,0.0000E+00,4.0000E+00,4.1228E-03,-3.6453E-03,-3.8672E-04,4.8238E-04
30,5.0000E+01,8.6000E+02,1.6183E+00,1.4129E-01,3.0844E-03,8.1695E-03,0.0000E+00,4.0000E+00,4.2146E-03,-2.9544E-03,1.1324E-03,5.2188E-04
31,5.0000E+01,8.7500E+02,1.5977E+00,1.8288E-01,2.9277E-03,7.8464E-03,0.0000E+00,4.0000E+00,4.0509E-03,-1.8712E-03,-4.6634E-04,2.2337E-04
32,5.0000E+01,8.9000E+02,1.5640E+00,1.2770E-01,2.8369E-03,1.0301E-02,0.0000E+00,4.0000E+00,3.9358E-03,-1.0447E-03,-1.6897E-03,4.0697E-04
33,5.0000E+01,9.0500E+02,1.5675E+00,1.2453E-01,2.8998E-03,1.2219E-02,0.0000E+00,4.0000E+00,4.0195E-03,-6.5980E-04,-2.3321E-04,1.3979E-03
34,5.0000E+01,9.2000E+02,1.5841E+00,1.1982E-01,3.1547E-03,1.2025E-02,0.0000E+00,4.0000E+00,4.1979E-03,-8.5524E-04,9.0814E-04,1.3557E-03
35,5.0000E+01,9.3500E+02,1.6046E+00,1.5694E-01,3.2479E-03,8.8286E-03,0.0000E+00,4.0000E+00,4.2897E-03,-1.6623E-03,2.3989E-03,1.1016E-03
36,5.0000E+01,9.5000E+02,1.6244E+00,2.0068E-01,3.1167E-03,8.4187E-03,0.0000E+00,4.0000E+00,4.1575E-03,-2.3478E-03,1.2818E-03,6.2087E-04
37,5.0000E+01,9.6500E+02,1.6227E+00,1.9801E-01,2.8745E-03,7.5983E-03,0.0000E+00,4.0000E+00,3.9191E-03,-2.6948E-03,-1.3236E-03,3.6281E-04
38,5.0000E+01,9.8000E+02,1.6137E+00,1.6095E-01,3.0358E-03,9.9413E-03,0.0000E+00,4.0000E+00,4.1703E-03,-2.2126E-03,-1.5641E-03,1.0255E-04
39,5.0000E+01,9.9500E+02,1.5955E+00,1.5044E-01,3.1159E-03,9.1928E-03,0.0000E+00,4.0000E+00,4.3073E-03,-1.7327E-03,-9.5813E-04,2.5256E-05
40,5.0000E+01,1.0100E+03,1.5760E+00,1.3200E-01,3.2157E-03,1.1126E-02,0.0000E+00,4.0000E+00,4.3896E-03,-1.2866E-03,-1.4116E-05,8.9185E-05
41,5.0000E+01,1.0250E+03,1.5599E+00,1.4153E-01,3.2948E-03,1.2497E-02,0.0000E+00,4.0000E+00,4.4484E-03,-1.5628E-03,2.1572E-03,5.7922E-04
42,5.0000E+01,1.0400E+03,1.5867E+00,2.0261E-01,3.5680E-03,1.3069E-02,0.0000E+00,4.0000E+00,4.8320E-03,-2.7462E-03,1.6259E-03,8.1571E-04
43,5.0000E+01,1.0550E+03,1.6118E+00,2.0298E-01,3.3454E-03,1.6780E-02,0.0000E+00,4.0000E+00,4.4749E-03,-4.5245E-03,-5.7095E-04,6.1345E-04
44,5.0000E+01,1.0700E+03,1.6351E+00,1.7721E-01,3.2609E-03,1.8222E-02,0.0000E+00,4.0000E+00,4.4572E-03,-6.7948E-03,1.0169E-05,5.8684E-04
45,5.0000E+01,1.0850E+03,1.6613E+00,2.0220E-01,2.8793E-03,2.0518E-02,0.0000E+00,4.0000E+00,3.9471E-03,-8.1194E-03,5.3446E-04,4.0560E-04
46,5.0000E+01,1.1000E+03,1.6544E+00,2.0050E-01,2.7422E-03,2.6748E-02,0.0000E+00,4.0000E+00,3.8074E-03,-8.8053E-03,-7.5145E-04,3.8874E-04
47,5.0000E+01,1.1150E+03,1.6594E+00,1.7298E-01,2.7752E-03,3.9490E-02,0.0000E+00,4.0000E+00,3.8333E-03,-9.3521E-03,-8.8558E-04,7.6587E-04
48,5.0000E+01,1.1300E+03,1.6862E+00,1.6698E-01,2.9155E-03,4.2707E-02,0.0000E+00,4.0000E+00,4.0338E-03,-9.2205E-03,-4.7944E-04,5.2833E-05
49,5.0000E+01,1.1450E+03,1.6343E+00,1.6759E-01,3.0846E-03,4.7283E-02,0.0000E+00,4.0000E+00,4.2107E-03,-8.5126E-03,-2.5384E-04,-7.3992E-04
50,5.0000E+01,1.1600E+03,1.6034E+00,1.7676E-01,3.2736E-03,3.9641E-02,0.0000E+00,4.0000E+00,4.4298E-03,-6.5645E-03,-9.3588E-04,-8.4344E-04
51,5.0000E+01,1.1750E+03,1.5672E+00,1.3938E-01,3.1490E-03,3.7716E-02,0.0000E+00,4.0000E+00,4.2528E-03,-4.8483E-03,-1.1706E-03,-8.1723E-04
52,5.0000E+01,1.1900E+03,1.5260E+00,1.2477E-01,3.1313E-03,3.7966E-02,0.0000E+00,4.0000E+00,4.1833E-03,-3.3088E-03,1.2188E-03,-2.2773E-04
53,5.0000E+01,1.2050E+03,1.5240E+00,1.8232E-01,3.1261E-03,3.4090E-02,0.0000E+00,4.0000E+00,4.1324E-03,-2.9042E-03,2.1800E-03,3.1934E-04
54,5.0000E+01,1.2200E+03,1.5492E+00,2.0275E-01,3.1465E-03,2.9196E-02,0.0000E+00,4.0000E+00,4.1795E-03,-3.7167E-03,3.4760E-04,3.8048E-04
55,5.0000E+01,1.2350E+03,1.5862E+00,1.8545E-01,3.3250E-03,2.4943E-02,0.0000E+00,4.0000E+00,4.4134E-03,-5.5085E-03,-2.0473E-03,6.4912E-04
56,5.0000E+01,1.2500E+03,1.6093E+00,1.3307E-01,3.0915E-03,2.9231E-02,0.0000E+00,4.0000E+00,4.1585E-03,-7.3337E-03,-1.3770E-03,-1.3080E-04
57,5.0000E+01,1.2650E+03,1.6289E+00,1.6877E-01,3.0282E-03,3.2833E-02,0.0000E+00,4.0000E+00,4.0921E-03,-8.6328E-03,2.9562E-04,-9.5225E-04
58,5.0000E+01,1.2800E+03,1.6299E+00,1.7368E-01,3.0417E-03,3.2208E-02,0.0000E+00,4.0000E+00,4.1435E-03,-9.9576E-03,1.6243E-05,-1.0480E-03
59,5.0000E+01,1.2950E+03,1.6574E+00,1.5356E-01,3.1577E-03,3.2204E-02,0.0000E+00,4.0000E+00,4.3942E-03,-9.8410E-03,4.4654E-04,-1.2032E-03
60,5.0000E+01,1.3100E+03,1.6220E+00,1.7778E-01,3.1529E-03,2.5609E-02,0.0000E+00,4.0000E+00,4.3004E-03,-8.5251E-03,3.4303E-05,-9.5428E-04
61,5.0000E+01,1.3250E+03,1.5850E+00,1.4241E-01,3.1973E-03,3.8175E-02,0.0000E+00,4.0000E+00,4.3898E-03,-6.8386E-03,8.7383E-04,-8.6635E-04
62,5.0000E+01,1.3400E+03,1.5958E+00,2.0912E-01,3.1549E-03,3.8003E-02,0.0000E+00,4.0000E+00,4.3377E-03,-6.3490E-03,1.6924E-03,-5.3081E-04
63,5.0000E+01,1.3550E+03,1.6337E+00,2.2886E-01,3.1506E-03,3.6578E-02,0.0000E+00,4.0000E+00,4.3645E-03,-7.3940E-03,-7.5044E-04,-8.9834E-04
64,5.0000E+01,1.3700E+03,1.6536E+00,1.7922E-01,2.9754E-03,3.0686E-02,0.0000E+00,4.0000E+00,4.1267E-03,-7.7951E-03,-2.0526E-03,-1.3480E-03
65,5.0000E+01,1.3850E+03,1.6225E+00,1.4289E-01,2.9495E-03,3.0083E-02,0.0000E+00,4.0000E+00,4.0305E-03,-7.2701E-03,-7.8895E-05,-6.7292E-04
66,5.0000E+01,1.4000E+03,1.6142E+00,1.5647E-01,2.9813E-03,3.6672E-02,0.0000E+00,4.0000E+00,4.0361E-03,-6.1652E-03,1.4336E-03,-1.0629E-04
67,5.0000E+01,1.4150E+03,1.6032E+00,1.7828E-01,2.8814E-03,4.1280E-02,0.0000E+00,4.0000E+00,3.9626E-03,-6.1794E-03,1.5575E-03,1.3209E-04
68,5.0000E+01,1.4300E+03,1.6243E+00,2.0769E-01,2.8159E-03,3.3205E-02,0.0000E+00,4.0000E+00,3.8375E-03,-6.4823E-03,2.0601E-04,3.1081E-04
69,5.0000E+01,1.4450E+03,1.6170E+00,1.7487E-01,2.8988E-03,3.1078E-02,0.0000E+00,4.0000E+00,3.9936E-03,-6.1114E-03,-1.5197E-04,-3.5827E-04
70,5.0000E+01,1.4600E+03,1.5826E+00,2.1711E-01,2.5286E-03,3.6721E-02,0.0000E+00,4.0000E+00,3.4816E-03,-5.2184E-03,-1.0457E-03,2.2081E-04
71,5.0000E+01,1.4750E+03,1.5993E+00,1.3934E-01,2.5374E-03,4.9258E-02,0.0000E+00,4.0000E+00,3.5144E-03,-5.2034E-03,-1.3781E-03,3.4489E-04
72,5.0000E+01,1.4900E+03,1.6329E+00,1.7167E-01,2.5326E-03,4.3474E-02,0.0000E+00,4.0000E+00,3.4807E-03,-6.5148E-03,-2.2191E-04,2.5533E-04
73,5.0000E+01,1.5050E+03,1.6489E+00,1.5771E-01,2.6585E-03,3.4239E-02,0.0000E+00,4.0000E+00,3.5762E-03,-7.0279E-03,-1.7046E-03,-2.7496E-04
74,5.0000E+01,1.5200E+03,1.6270E+00,1.0245E-01,2.7159E-03,3.1660E-02,0.0000E+00,4.0000E+00,3.6691E-03,-5.6324E-03,-2.1033E-03,-4.8197E-04
