Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
2,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0001"
"","1.0000","0.0321","0.0263"
"","2.0000","0.0653","0.0521"
"","3.0000","0.0986","0.0777"
"","4.0000","0.1320","0.1027"
"","5.0000","0.1652","0.1275"
"","6.0000","0.1988","0.1519"
"","7.0000","0.2319","0.1759"
"","8.0000","0.2654","0.2000"
"","9.0000","0.2988","0.2238"
"","10.0000","0.3321","0.2471"
"","11.0000","0.3654","0.2702"
"","12.0000","0.3986","0.2933"
"","13.0000","0.4319","0.3161"
"","14.0000","0.4654","0.3387"
"","15.0000","0.4987","0.3611"
"","16.0000","0.5319","0.3832"
"","17.0000","0.5654","0.4054"
"","18.0000","0.5986","0.4271"
"","19.0000","0.6320","0.4489"
"","20.0000","0.6653","0.4706"
"","21.0000","0.6985","0.4918"
"","22.0000","0.7319","0.5130"
"","23.0000","0.7652","0.5339"
"","24.0000","0.7985","0.5549"
"","25.0000","0.8320","0.5759"
"","26.0000","0.8652","0.5962"
"","27.0000","0.8986","0.6168"
"","28.0000","0.9320","0.6370"
"","29.0000","0.9653","0.6570"
"","30.0000","0.9987","0.6770"
"","31.0000","1.0319","0.6966"
"","32.0000","1.0653","0.7162"
"","33.0000","1.0988","0.7357"
"","34.0000","1.1320","0.7548"
"","35.0000","1.1654","0.7738"
"","36.0000","1.1988","0.7928"
"","37.0000","1.2321","0.8115"
"","38.0000","1.2654","0.8300"
"","39.0000","1.2988","0.8483"
"","40.0000","1.3319","0.8664"
"","41.0000","1.3653","0.8844"
"","42.0000","1.3986","0.9022"
"","43.0000","1.4319","0.9197"
"","44.0000","1.4654","0.9371"
"","45.0000","1.4986","0.9543"
"","46.0000","1.5319","0.9713"
"","47.0000","1.5653","0.9883"
"","48.0000","1.5986","1.0051"
"","49.0000","1.6320","1.0215"
"","50.0000","1.6651","1.0377"
"","51.0000","1.6985","1.0538"
"","52.0000","1.7320","1.0699"
"","53.0000","1.7653","1.0854"
"","54.0000","1.7986","1.1009"
"","55.0000","1.8319","1.1163"
"","56.0000","1.8653","1.1313"
"","57.0000","1.8987","1.1463"
"","58.0000","1.9320","1.1610"
"","59.0000","1.9652","1.1754"
"","60.0000","1.9987","1.1899"
"","61.0000","2.0320","1.2040"
"","62.0000","2.0654","1.2180"
"","63.0000","2.0989","1.2320"
"","64.0000","2.1320","1.2453"
"","65.0000","2.1653","1.2586"
"","66.0000","2.1987","1.2718"
"","67.0000","2.2319","1.2847"
"","68.0000","2.2654","1.2976"
"","69.0000","2.2986","1.3100"
"","70.0000","2.3319","1.3224"
"","71.0000","2.3654","1.3347"
"","72.0000","2.3987","1.3468"
"","73.0000","2.4320","1.3586"
"","74.0000","2.4652","1.3702"
"","75.0000","2.4986","1.3816"
"","76.0000","2.5319","1.3928"
"","77.0000","2.5652","1.4039"
"","78.0000","2.5985","1.4147"
"","79.0000","2.6320","1.4255"
"","80.0000","2.6653","1.4360"
"","81.0000","2.6986","1.4464"
"","82.0000","2.7320","1.4567"
"","83.0000","2.7653","1.4666"
"","84.0000","2.7986","1.4763"
"","85.0000","2.8319","1.4858"
"","86.0000","2.8653","1.4953"
"","87.0000","2.8988","1.5047"
"","88.0000","2.9319","1.5138"
"","89.0000","2.9654","1.5227"
"","90.0000","2.9988","1.5316"
"","91.0000","3.0321","1.5401"
"","92.0000","3.0654","1.5486"
"","93.0000","3.0987","1.5567"
"","94.0000","3.1319","1.5646"
"","95.0000","3.1654","1.5726"
"","96.0000","3.1987","1.5803"
"","97.0000","3.2319","1.5879"
"","98.0000","3.2654","1.5954"
"","99.0000","3.2986","1.6027"
"","100.0000","3.3319","1.6098"
"","101.0000","3.3653","1.6168"
"","102.0000","3.3985","1.6235"
"","103.0000","3.4319","1.6301"
"","104.0000","3.4652","1.6367"
"","105.0000","3.4985","1.6430"
"","106.0000","3.5321","1.6493"
"","107.0000","3.5652","1.6553"
"","108.0000","3.5986","1.6614"
"","109.0000","3.6320","1.6674"
"","110.0000","3.6653","1.6730"
"","111.0000","3.6988","1.6786"
"","112.0000","3.7319","1.6839"
"","113.0000","3.7653","1.6892"
"","114.0000","3.7988","1.6945"
"","115.0000","3.8320","1.6993"
"","116.0000","3.8654","1.7043"
"","117.0000","3.8988","1.7091"
"","118.0000","3.9321","1.7138"
"","119.0000","3.9654","1.7184"
"","120.0000","3.9987","1.7228"
"","121.0000","4.0319","1.7270"
"","122.0000","4.0653","1.7313"
"","123.0000","4.0986","1.7354"
"","124.0000","4.1320","1.7394"
"","125.0000","4.1654","1.7434"
"","126.0000","4.1986","1.7470"
"","127.0000","4.2319","1.7505"
"","128.0000","4.2653","1.7542"
"","129.0000","4.2986","1.7579"
"","130.0000","4.3320","1.7611"
"","131.0000","4.3652","1.7644"
"","132.0000","4.3985","1.7676"
"","133.0000","4.4320","1.7708"
"","134.0000","4.4653","1.7735"
"","135.0000","4.4986","1.7765"
"","136.0000","4.5319","1.7794"
"","137.0000","4.5653","1.7821"
"","138.0000","4.5987","1.7846"
"","139.0000","4.6320","1.7872"
"","140.0000","4.6652","1.7895"
"","141.0000","4.6987","1.7919"
"","142.0000","4.7320","1.7942"
"","143.0000","4.7654","1.7965"
"","144.0000","4.7989","1.7986"
"","145.0000","4.8320","1.8005"
"","146.0000","4.8654","1.8024"
"","147.0000","4.8987","1.8044"
"","148.0000","4.9320","1.8060"
"","149.0000","4.9655","1.8079"
"","150.0000","4.9986","1.8091"
"","151.0000","5.0319","1.8108"
"","152.0000","5.0654","1.8123"
"","153.0000","5.0987","1.8136"
"","154.0000","5.1320","1.8149"
"","155.0000","5.1652","1.8161"
"","156.0000","5.1986","1.8173"
"","157.0000","5.2319","1.8183"
"","158.0000","5.2652","1.8192"
"","159.0000","5.2985","1.8202"
"","160.0000","5.3319","1.8209"
"","161.0000","5.3653","1.8216"
"","162.0000","5.3986","1.8224"
"","163.0000","5.4320","1.8230"
"","164.0000","5.4653","1.8235"
"","165.0000","5.4986","1.8239"
"","166.0000","5.5319","1.8243"
"","167.0000","5.5653","1.8245"
"","168.0000","5.5988","1.8248"
"","169.0000","5.6319","1.8249"
"","170.0000","5.6654","1.8251"
"","171.0000","5.6988","1.8251"
"","172.0000","5.7321","1.8249"
"","173.0000","5.7654","1.8248"
"","174.0000","5.7987","1.8246"
"","175.0000","5.8319","1.8242"
"","176.0000","5.8654","1.8239"
"","177.0000","5.8987","1.8236"
"","178.0000","5.9319","1.8230"
"","179.0000","5.9654","1.8223"
