Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
2,Time,Displacement,Force
,(s),(mm),(kN)
3,Time,Displacement,Force
,(s),(mm),(kN)
"","172.0000","5.7305","1.8618"
"","173.0000","5.7639","1.8622"
"","174.0000","5.7972","1.8628"
"","175.0000","5.8305","1.8631"
"","176.0000","5.8639","1.8633"
"","177.0000","5.8971","1.8635"
"","178.0000","5.9305","1.8637"
"","179.0000","5.9640","1.8638"
"","180.0000","5.9971","1.8635"
"","180.0890","6.0000","1.8635"
"","180.0900","6.0001","1.8635"
"","181.0900","5.9707","1.8308"
"","182.0900","5.9373","1.8007"
"","183.0900","5.9040","1.7737"
"","184.0900","5.8706","1.7487"
"","185.0900","5.8376","1.7253"
"","186.0900","5.8040","1.7028"
"","187.0900","5.7707","1.6815"
"","188.0900","5.7376","1.6612"
"","189.0900","5.7041","1.6413"
"","190.0900","5.6709","1.6220"
"","191.0900","5.6375","1.6035"
"","192.0900","5.6041","1.5851"
"","193.0900","5.5709","1.5673"
"","194.0900","5.5374","1.5497"
"","195.0900","5.5041","1.5327"
"","196.0900","5.4709","1.5158"
"","197.0900","5.4374","1.4991"
"","198.0900","5.4040","1.4827"
"","199.0900","5.3708","1.4664"
"","200.0900","5.3373","1.4504"
"","201.0900","5.3040","1.4345"
"","202.0900","5.2707","1.4187"
"","203.0900","5.2373","1.4030"
"","204.0900","5.2042","1.3878"
"","205.0900","5.1707","1.3724"
"","206.0900","5.1373","1.3571"
"","207.0900","5.1041","1.3419"
"","208.0900","5.0707","1.3270"
"","209.0900","5.0374","1.3120"
"","210.0900","5.0039","1.2971"
"","211.0900","4.9707","1.2823"
"","212.0900","4.9375","1.2677"
"","213.0900","4.9041","1.2531"
"","214.0900","4.8708","1.2384"
"","215.0900","4.8375","1.2241"
"","216.0900","4.8041","1.2096"
"","217.0900","4.7708","1.1953"
"","218.0900","4.7374","1.1809"
"","219.0900","4.7041","1.1667"
"","220.0900","4.6708","1.1523"
"","221.0900","4.6375","1.1381"
"","222.0900","4.6041","1.1240"
"","223.0900","4.5710","1.1100"
"","224.0900","4.5375","1.0958"
"","225.0900","4.5040","1.0817"
"","226.0900","4.4708","1.0679"
"","227.0900","4.4373","1.0539"
"","228.0900","4.4041","1.0400"
"","229.0900","4.3706","1.0262"
"","230.0900","4.3373","1.0122"
"","231.0900","4.3041","0.9986"
"","232.0900","4.2707","0.9849"
"","233.0900","4.2373","0.9713"
"","234.0900","4.2041","0.9577"
"","235.0900","4.1706","0.9440"
"","235.9870","4.1408","0.9319"

