 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000               0               0               0               0          0.5000;
     1    0.009               2               2               0               0          0.5000;
     2    0.018              10              10               0               0          0.5000;
     3    0.027              22              22               1               1          0.5000;
     4    0.035              38              38               4               3          0.5000;
     5    0.044              58              58              11               8          0.5000;
     6    0.053              82              82              22              18          0.5000;
     7    0.062             108             108              39              35          0.5000;
     8    0.071             136             136              62              58          0.5000;
     9    0.080             166             166              93              88          0.5000;
    10    0.089             198             198             131             125          0.5000;
    11    0.097             232             232             174             168          0.5000;
    12    0.106             266             266             223             217          0.5000;
    13    0.115             302             302             276             270          0.5000;
    14    0.124             341             341             329             323          0.5000;
    15    0.133             382             382             383             377          0.5000;
    16    0.142             427             427             435             429          0.5000;
    17    0.151             474             474             486             481          0.5000;
    18    0.159             524             524             533             529          0.5000;
    19    0.168             577             577             579             572          0.5000;
    20    0.177             631             631             623             617          0.5000;
    21    0.186             687             687             666             661          0.5000;
    22    0.195             743             743             710             702          0.5000;
    23    0.204             800             800             756             750          0.5000;
    24    0.213             857             857             805             799          0.5000;
    25    0.221             914             914             859             851          0.5000;
    26    0.230             971             971             916             909          0.5000;
    27    0.239            1028            1028             978             971          0.5000;
    28    0.248            1084            1084            1044            1035          0.5000;
    29    0.257            1138            1138            1112            1103          0.5000;
    30    0.266            1193            1193            1181            1174          0.5000;
    31    0.274            1248            1248            1250            1243          0.5000;
    32    0.283            1304            1304            1318            1308          0.5000;
    33    0.292            1360            1360            1382            1375          0.5000;
    34    0.301            1418            1418            1442            1434          0.5000;
    35    0.310            1477            1477            1498            1488          0.5000;
    36    0.319            1536            1536            1550            1543          0.5000;
    37    0.328            1597            1597            1599            1590          0.5000;
    38    0.336            1658            1658            1645            1636          0.5000;
    39    0.345            1722            1722            1691            1685          0.5000;
    40    0.354            1786            1786            1739            1729          0.5000;
    41    0.363            1851            1851            1790            1779          0.5000;
    42    0.372            1917            1917            1845            1837          0.5000;
    43    0.381            1982            1982            1906            1894          0.5000;
    44    0.390            2049            2049            1972            1964          0.5000;
    45    0.398            2116            2116            2045            2037          0.5000;
    46    0.407            2185            2185            2124            2114          0.5000;
    47    0.416            2256            2256            2207            2197          0.5000;
    48    0.425            2330            2330            2293            2284          0.5000;
    49    0.434            2406            2406            2381            2369          0.5000;
    50    0.443            2485            2485            2469            2461          0.5000;
    51    0.452            2566            2566            2556            2547          0.5000;
    52    0.460            2652            2652            2643            2631          0.5000;
    53    0.469            2740            2740            2728            2718          0.5000;
    54    0.478            2832            2832            2811            2803          0.5000;
    55    0.487            2926            2926            2895            2884          0.5000;
    56    0.496            3021            3021            2979            2969          0.5000;
    57    0.505            3117            3117            3065            3054          0.5000;
    58    0.514            3215            3215            3153            3143          0.5000;
    59    0.522            3312            3312            3246            3237          0.5000;
    60    0.531            3409            3409            3343            3332          0.5000;
    61    0.540            3506            3506            3443            3431          0.5000;
    62    0.549            3603            3603            3547            3538          0.5000;
    63    0.558            3700            3700            3654            3644          0.5000;
    64    0.567            3797            3797            3763            3750          0.5000;
    65    0.576            3893            3893            3873            3865          0.5000;
    66    0.584            3990            3990            3981            3967          0.5000;
    67    0.593            4088            4088            4088            4077          0.5000;
    68    0.602            4188            4188            4191            4182          0.5000;
    69    0.611            4288            4288            4291            4274          0.5000;
    70    0.620            4391            4391            4387            4374          0.5000;
    71    0.629            4496            4496            4480            4472          0.5000;
    72    0.638            4603            4603            4572            4557          0.5000;
    73    0.646            4713            4713            4664            4650          0.5000;
    74    0.655            4825            4825            4758            4749          0.5000;
    75    0.664            4940            4940            4856            4842          0.5000;
    76    0.673            5056            5056            4959            4945          0.5000;
    77    0.682            5174            5174            5069            5055          0.5000;
    78    0.691            5293            5293            5187            5174          0.5000;
    79    0.699            5413            5413            5312            5298          0.5000;
    80    0.708            5535            5535            5445            5430          0.5000;
    81    0.717            5657            5657            5584            5570          0.5000;
    82    0.726            5779            5779            5727            5707          0.5000;
    83    0.735            5903            5903            5872            5857          0.5000;
    84    0.744            6028            6028            6016            6002          0.5000;
    85    0.753            6154            6154            6158            6138          0.5000;
    86    0.761            6281            6281            6296            6281          0.5000;
    87    0.770            6409            6409            6428            6416          0.5000;
    88    0.779            6538            6538            6555            6535          0.5000;
    89    0.788            6669            6669            6675            6658          0.5000;
    90    0.797            6800            6800            6791            6780          0.5000;
    91    0.806            6932            6932            6905            6886          0.5000;
    92    0.815            7064            7064            7017            7001          0.5000;
    93    0.823            7197            7197            7131            7114          0.5000;
    94    0.832            7331            7331            7248            7229          0.5000;
    95    0.841            7466            7466            7370            7353          0.5000;
    96    0.850            7601            7601            7498            7481          0.5000;
    97    0.859            7738            7738            7634            7618          0.5000;
    98    0.868            7876            7876            7777            7761          0.5000;
    99    0.877            8016            8016            7927            7909          0.5000;
   100    0.885            8157            8157            8083            8067          0.5000;
   101    0.894            8299            8299            8242            8231          0.5000;
   102    0.903            8442            8442            8404            8391          0.5000;
   103    0.912            8586            8586            8568            8552          0.5000;
   104    0.921            8732            8732            8730            8722          0.5000;
   105    0.930            8878            8878            8889            8877          0.5000;
   106    0.939            9026            9026            9044            9033          0.5000;
   107    0.947            9176            9176            9195            9190          0.5000;
   108    0.956            9328            9328            9341            9330          0.5000;
   109    0.965            9480            9480            9483            9474          0.5000;
   110    0.974            9635            9635            9623            9623          0.5000;
   111    0.983            9791            9791            9761            9750          0.5000;
   112    0.992            9948            9948            9900            9889          0.5000;
   113    1.001           10108           10108           10042           10044          0.5000;
   114    1.009           10269           10269           10188           10177          0.5000;
   115    1.018           10432           10432           10341           10332          0.5000;
   116    1.027           10597           10597           10501           10503          0.5000;
   117    1.036           10763           10763           10669           10661          0.5000;
   118    1.045           10929           10929           10846           10841          0.5000;
   119    1.054           11096           11096           11029           11029          0.5000;
   120    1.063           11264           11264           11218           11219          0.5000;
   121    1.071           11432           11432           11410           11401          0.5000;
   122    1.080           11600           11600           11602           11607          0.5000;
   123    1.089           11769           11769           11793           11791          0.5000;
   124    1.098           11939           11939           11979           11977          0.5000;
   125    1.107           12110           12110           12160           12163          0.5000;
   126    1.116           12283           12283           12333           12334          0.5000;
   127    1.124           12459           12459           12500           12499          0.5000;
   128    1.133           12637           12637           12660           12662          0.5000;
   129    1.142           12820           12820           12817           12819          0.5000;
   130    1.151           13005           13005           12972           12967          0.5000;
   131    1.160           13193           13193           13128           13130          0.5000;
   132    1.169           13382           13382           13289           13291          0.5000;
   133    1.178           13573           13573           13458           13454          0.5000;
   134    1.186           13762           13762           13638           13641          0.5000;
   135    1.195           13951           13951           13828           13827          0.5000;
   136    1.204           14137           14137           14030           14029          0.5000;
   137    1.213           14323           14323           14241           14242          0.5000;
   138    1.222           14507           14507           14459           14462          0.5000;
   139    1.231           14690           14690           14680           14677          0.5000;
   140    1.240           14874           14874           14898           14905          0.5000;
   141    1.248           15060           15060           15113           15117          0.5000;
   142    1.257           15248           15248           15320           15321          0.5000;
   143    1.266           15441           15441           15517           15523          0.5000;
   144    1.275           15640           15640           15704           15709          0.5000;
   145    1.284           15844           15844           15882           15882          0.5000;
   146    1.293           16052           16052           16054           16058          0.5000;
   147    1.302           16264           16264           16222           16222          0.5000;
   148    1.310           16477           16477           16392           16391          0.5000;
   149    1.319           16690           16690           16568           16570          0.5000;
   150    1.328           16900           16900           16753           16752          0.5000;
   151    1.337           17107           17107           16952           16950          0.5000;
   152    1.346           17310           17310           17163           17162          0.5000;
   153    1.355           17511           17511           17386           17386          0.5000;
   154    1.364           17709           17709           17620           17618          0.5000;
   155    1.372           17906           17906           17859           17857          0.5000;
   156    1.381           18104           18104           18099           18102          0.5000;
   157    1.390           18304           18304           18336           18331          0.5000;
   158    1.399           18509           18509           18566           18565          0.5000;
   159    1.408           18718           18718           18786           18788          0.5000;
   160    1.417           18932           18932           18994           18985          0.5000;
   161    1.426           19150           19150           19192           19195          0.5000;
   162    1.434           19372           19372           19381           19380          0.5000;
   163    1.443           19594           19594           19564           19557          0.5000;
   164    1.452           19816           19816           19746           19746          0.5000;
   165    1.461           20037           20037           19930           19928          0.5000;
   166    1.470           20256           20256           20121           20113          0.5000;
   167    1.479           20473           20473           20322           20319          0.5000;
   168    1.488           20688           20688           20533           20530          0.5000;
   169    1.496           20904           20904           20756           20750          0.5000;
   170    1.505           21119           21119           20990           20984          0.5000;
   171    1.514           21334           21334           21232           21236          0.5000;
   172    1.523           21550           21550           21481           21465          0.5000;
   173    1.532           21768           21768           21732           21729          0.5000;
   174    1.541           21986           21986           21981           21981          0.5000;
   175    1.549           22206           22206           22226           22202          0.5000;
   176    1.558           22427           22427           22464           22469          0.5000;
   177    1.567           22649           22649           22692           22686          0.5000;
   178    1.576           22873           22873           22911           22893          0.5000;
   179    1.585           23098           23098           23121           23121          0.5000;
   180    1.594           23325           23325           23324           23316          0.5000;
   181    1.603           23555           23555           23523           23505          0.5000;
   182    1.611           23787           23787           23720           23714          0.5000;
   183    1.620           24021           24021           23919           23914          0.5000;
   184    1.629           24256           24256           24126           24106          0.5000;
   185    1.638           24489           24489           24341           24339          0.5000;
   186    1.647           24721           24721           24569           24561          0.5000;
   187    1.656           24949           24949           24808           24796          0.5000;
   188    1.665           25175           25175           25060           25049          0.5000;
   189    1.673           25397           25397           25320           25319          0.5000;
   190    1.682           25618           25618           25584           25572          0.5000;
   191    1.691           25840           25840           25850           25834          0.5000;
   192    1.700           26064           26064           26111           26122          0.5000;
   193    1.709           26292           26292           26365           26350          0.5000;
   194    1.718           26524           26524           26609           26592          0.5000;
   195    1.727           26762           26762           26842           26862          0.5000;
   196    1.735           27005           27005           27065           27044          0.5000;
   197    1.744           27250           27250           27279           27274          0.5000;
   198    1.753           27497           27497           27489           27506          0.5000;
   199    1.762           27744           27744           27699           27682          0.5000;
   200    1.771           27989           27989           27912           27902          0.5000;
   201    1.780           28232           28232           28133           28149          0.5000;
   202    1.789           28472           28472           28362           28343          0.5000;
   203    1.797           28711           28711           28602           28587          0.5000;
   204    1.806           28950           28950           28852           28872          0.5000;
   205    1.815           29189           29189           29113           29089          0.5000;
   206    1.824           29429           29429           29379           29367          0.5000;
   207    1.833           29669           29669           29649           29670          0.5000;
   208    1.842           29911           29911           29922           29895          0.5000;
   209    1.851           30153           30153           30192           30184          0.5000;
   210    1.859           30398           30398           30458           30479          0.5000;
   211    1.868           30643           30643           30716           30687          0.5000;
   212    1.877           30890           30890           30966           30961          0.5000;
   213    1.886           31140           31140           31207           31227          0.5000;
   214    1.895           31392           31392           31440           31411          0.5000;
   215    1.904           31648           31648           31668           31664          0.5000;
   216    1.913           31907           31907           31893           31910          0.5000;
   217    1.921           32169           32169           32118           32091          0.5000;
   218    1.930           32431           32431           32348           32340          0.5000;
   219    1.939           32692           32692           32585           32600          0.5000;
   220    1.948           32951           32951           32832           32805          0.5000;
   221    1.957           33206           33206           33091           33080          0.5000;
   222    1.966           33459           33459           33360           33376          0.5000;
   223    1.974           33709           33709           33639           33612          0.5000;
   224    1.983           33958           33958           33922           33908          0.5000;
   225    1.992           34208           34208           34207           34225          0.5000;
   226    2.001           34460           34460           34491           34465          0.5000;
   227    2.010           34715           34715           34768           34751          0.5000;
   228    2.019           34974           34974           35038           35056          0.5000;
   229    2.028           35236           35236           35299           35279          0.5000;
   230    2.036           35501           35501           35550           35528          0.5000;
   231    2.045           35768           35768           35793           35807          0.5000;
   232    2.054           36034           36034           36031           36013          0.5000;
   233    2.063           36301           36301           36266           36234          0.5000;
   234    2.072           36569           36569           36502           36517          0.5000;
   235    2.081           36837           36837           36741           36718          0.5000;
   236    2.090           37104           37104           36988           36954          0.5000;
   237    2.098           37372           37372           37242           37259          0.5000;
   238    2.107           37639           37639           37508           37479          0.5000;
   239    2.116           37904           37904           37784           37750          0.5000;
   240    2.125           38167           38167           38068           38083          0.5000;
   241    2.134           38428           38428           38360           38325          0.5000;
   242    2.143           38686           38686           38654           38623          0.5000;
   243    2.152           38944           38944           38948           38969          0.5000;
   244    2.160           39202           39202           39238           39205          0.5000;
   245    2.169           39462           39462           39521           39484          0.5000;
   246    2.178           39726           39726           39794           39817          0.5000;
   247    2.187           39995           39995           40057           40035          0.5000;
   248    2.196           40268           40268           40309           40266          0.5000;
   249    2.205           40543           40543           40554           40581          0.5000;
   250    2.214           40819           40819           40795           40778          0.5000;
   251    2.222           41094           41094           41036           40990          0.5000;
   252    2.231           41368           41368           41279           41310          0.5000;
   253    2.240           41640           41640           41530           41514          0.5000;
   254    2.249           41910           41910           41790           41750          0.5000;
   255    2.258           42179           42179           42060           42094          0.5000;
   256    2.267           42448           42448           42340           42321          0.5000;
   257    2.276           42716           42716           42630           42596          0.5000;
   258    2.284           42985           42985           42926           42966          0.5000;
   259    2.293           43255           43255           43227           43210          0.5000;
   260    2.302           43525           43525           43529           43494          0.5000;
   261    2.311           43794           43794           43827           43872          0.5000;
   262    2.320           44064           44064           44122           44114          0.5000;
   263    2.329           44334           44334           44408           44374          0.5000;
   264    2.338           44607           44607           44685           44725          0.5000;
   265    2.346           44884           44884           44952           44953          0.5000;
   266    2.355           45164           45164           45210           45177          0.5000;
   267    2.364           45448           45448           45461           45493          0.5000;
   268    2.373           45734           45734           45709           45717          0.5000;
   269    2.382           46021           46021           45958           45923          0.5000;
   270    2.391           46308           46308           46212           46239          0.5000;
   271    2.399           46592           46592           46474           46485          0.5000;
   272    2.408           46873           46873           46746           46710          0.5000;
   273    2.417           47152           47152           47028           47055          0.5000;
   274    2.426           47428           47428           47323           47338          0.5000;
   275    2.435           47705           47705           47626           47589          0.5000;
   276    2.444           47983           47983           47935           47959          0.5000;
   277    2.453           48263           48263           48247           48263          0.5000;
   278    2.461           48544           48544           48556           48522          0.5000;
   279    2.470           48826           48826           48862           48878          0.5000;
   280    2.479           49108           49108           49160           49177          0.5000;
   281    2.488           49392           49392           49450           49417          0.5000;
   282    2.497           49677           49677           49730           49747          0.5000;
   283    2.506           49965           49965           50001           50015          0.5000;
   284    2.515           50254           50254           50264           50232          0.5000;
   285    2.523           50547           50547           50522           50539          0.5000;
   286    2.532           50841           50841           50780           50789          0.5000;
   287    2.541           51136           51136           51040           51006          0.5000;
   288    2.550           51430           51430           51304           51323          0.5000;
   289    2.559           51721           51721           51578           51585          0.5000;
   290    2.568           52009           52009           51863           51829          0.5000;
   291    2.577           52293           52293           52157           52177          0.5000;
   292    2.585           52574           52574           52462           52466          0.5000;
   293    2.594           52856           52856           52774           52736          0.5000;
   294    2.603           53137           53137           53089           53105          0.5000;
   295    2.612           53422           53422           53404           53414          0.5000;
   296    2.621           53708           53708           53717           53683          0.5000;
   297    2.630           53996           53996           54024           54029          0.5000;
   298    2.639           54286           54286           54322           54326          0.5000;
   299    2.647           54577           54577           54612           54582          0.5000;
   300    2.656           54868           54868           54893           54902          0.5000;
   301    2.665           55159           55159           55167           55160          0.5000;
   302    2.674           55451           55451           55435           55402          0.5000;
   303    2.683           55745           55745           55699           55711          0.5000;
   304    2.692           56041           56041           55964           55954          0.5000;
   305    2.701           56337           56337           56233           56198          0.5000;
   306    2.709           56632           56632           56509           56530          0.5000;
   307    2.718           56925           56925           56794           56779          0.5000;
   308    2.727           57214           57214           57090           57052          0.5000;
   309    2.736           57499           57499           57395           57420          0.5000;
   310    2.745           57783           57783           57708           57702          0.5000;
   311    2.754           58066           58066           58026           57987          0.5000;
   312    2.763           58351           58351           58346           58364          0.5000;
   313    2.771           58638           58638           58664           58662          0.5000;
   314    2.780           58928           58928           58978           58952          0.5000;
   315    2.789           59221           59221           59284           59305          0.5000;
   316    2.798           59516           59516           59582           59575          0.5000;
   317    2.807           59813           59813           59872           59846          0.5000;
   318    2.816           60110           60110           60155           60181          0.5000;
   319    2.824           60408           60408           60431           60421          0.5000;
   320    2.833           60708           60708           60704           60671          0.5000;
   321    2.842           61009           61009           60976           61003          0.5000;
   322    2.851           61311           61311           61251           61243          0.5000;
   323    2.860           61614           61614           61530           61490          0.5000;
   324    2.869           61916           61916           61818           61847          0.5000;
   325    2.878           62216           62216           62115           62111          0.5000;
   326    2.886           62514           62514           62422           62380          0.5000;
   327    2.895           62809           62809           62738           62766          0.5000;
   328    2.904           63102           63102           63061           63061          0.5000;
   329    2.913           63395           63395           63388           63350          0.5000;
   330    2.922           63690           63690           63714           63736          0.5000;
   331    2.931           63989           63989           64037           64039          0.5000;
   332    2.940           64291           64291           64354           64316          0.5000;
   333    2.948           64595           64595           64663           64682          0.5000;
   334    2.957           64901           64901           64964           64968          0.5000;
   335    2.966           65208           65208           65258           65216          0.5000;
   336    2.975           65516           65516           65544           65558          0.5000;
   337    2.984           65824           65824           65826           65830          0.5000;
   338    2.993           66132           66132           66105           66066          0.5000;
   339    3.002           66441           66441           66385           66393          0.5000;
   340    3.010           66751           66751           66669           66673          0.5000;
   341    3.019           67061           67061           66960           66923          0.5000;
   342    3.028           67369           67369           67258           67262          0.5000;
   343    3.037           67674           67674           67565           67565          0.5000;
   344    3.046           67976           67976           67882           67846          0.5000;
   345    3.055           68275           68275           68205           68209          0.5000;
   346    3.064           68573           68573           68532           68531          0.5000;
   347    3.072           68872           68872           68861           68822          0.5000;
   348    3.081           69172           69172           69187           69186          0.5000;
   349    3.090           69476           69476           69508           69504          0.5000;
   350    3.099           69782           69782           69823           69789          0.5000;
   351    3.108           70089           70089           70129           70128          0.5000;
   352    3.117           70398           70398           70428           70418          0.5000;
   353    3.126           70708           70708           70720           70682          0.5000;
   354    3.134           71016           71016           71006           71007          0.5000;
   355    3.143           71325           71325           71290           71285          0.5000;
   356    3.152           71633           71633           71575           71530          0.5000;
   357    3.161           71943           71943           71861           71857          0.5000;
   358    3.170           72253           72253           72153           72159          0.5000;
   359    3.179           72562           72562           72452           72414          0.5000;
   360    3.188           72868           72868           72759           72748          0.5000;
   361    3.196           73172           73172           73075           73083          0.5000;
   362    3.205           73472           73472           73399           73372          0.5000;
