 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000              -9              -9              -7             -10          0.0000;
     1    0.009              -8              -8              -7              -9          0.5000;
     2    0.018              -5              -4              -6              -9          0.5000;
     3    0.027               2               4              -6              -8          0.5000;
     4    0.035              14              17              -4              -7          0.5000;
     5    0.044              29              32              -2              -6          0.5000;
     6    0.053              46              50              -0              -4          0.5000;
     7    0.062              66              70               2              -1          0.5000;
     8    0.071              86              90               6               1          0.5000;
     9    0.080             107             112               9               4          0.5000;
    10    0.089             128             132              13               7          0.5000;
    11    0.097             148             152              16              11          0.5000;
    12    0.106             168             171              21              15          0.5000;
    13    0.115             186             189              25              19          0.5000;
    14    0.124             203             206              29              23          0.5000;
    15    0.133             218             221              34              27          0.5000;
    16    0.142             231             233              38              32          0.5000;
    17    0.151             242             244              43              36          0.5000;
    18    0.159             251             252              47              40          0.5000;
    19    0.168             257             258              52              45          0.5000;
    20    0.177             262             262              56              49          0.5000;
    21    0.186             264             264              61              54          0.5000;
    22    0.195             264             263              64              57          0.5000;
    23    0.204             261             261              68              61          0.5000;
    24    0.213             258             257              70              63          0.5000;
    25    0.221             253             252              72              65          0.5000;
    26    0.230             247             246              72              66          0.5000;
    27    0.239             240             239              72              66          0.5000;
    28    0.248             234             232              71              65          0.5000;
    29    0.257             227             226              70              65          0.5000;
    30    0.266             221             219              69              64          0.5000;
    31    0.274             214             213              68              63          0.5000;
    32    0.283             209             208              67              63          0.5000;
    33    0.292             204             202              66              62          0.5000;
    34    0.301             199             198              66              62          0.5000;
    35    0.310             196             195              65              61          0.5000;
    36    0.319             193             193              64              60          0.5000;
    37    0.328             192             191              63              59          0.5000;
    38    0.336             191             191              62              58          0.5000;
    39    0.345             191             192              61              58          0.5000;
    40    0.354             192             193              61              58          0.5000;
    41    0.363             194             195              62              58          0.5000;
    42    0.372             197             197              63              59          0.5000;
    43    0.381             200             200              65              60          0.5000;
    44    0.390             202             203              66              61          0.5000;
    45    0.398             205             206              67              62          0.5000;
    46    0.407             208             209              68              62          0.5000;
    47    0.416             211             211              68              63          0.5000;
    48    0.425             213             214              68              63          0.5000;
    49    0.434             215             216              68              63          0.5000;
    50    0.443             217             217              68              63          0.5000;
    51    0.452             218             218              69              63          0.5000;
    52    0.460             219             219              69              63          0.5000;
    53    0.469             219             219              69              64          0.5000;
    54    0.478             218             218              69              64          0.5000;
    55    0.487             218             217              69              64          0.5000;
    56    0.496             216             216              69              63          0.5000;
    57    0.505             215             215              68              63          0.5000;
    58    0.514             214             213              68              63          0.5000;
    59    0.522             212             212              69              63          0.5000;
    60    0.531             211             211              69              63          0.5000;
    61    0.540             210             210              70              64          0.5000;
    62    0.549             209             209              70              64          0.5000;
    63    0.558             209             209              71              65          0.5000;
    64    0.567             209             209              72              66          0.5000;
    65    0.576             210             210              73              67          0.5000;
    66    0.584             210             210              74              68          0.5000;
    67    0.593             212             212              75              68          0.5000;
    68    0.602             213             213              76              69          0.5000;
    69    0.611             214             214              77              70          0.5000;
    70    0.620             216             216              77              70          0.5000;
    71    0.629             217             217              78              71          0.5000;
    72    0.638             218             218              78              72          0.5000;
    73    0.646             219             219              79              72          0.5000;
    74    0.655             219             219              80              73          0.5000;
    75    0.664             220             220              81              74          0.5000;
    76    0.673             220             220              81              75          0.5000;
    77    0.682             220             220              82              75          0.5000;
    78    0.691             220             219              82              76          0.5000;
    79    0.699             219             219              83              76          0.5000;
    80    0.708             218             218              83              76          0.5000;
    81    0.717             218             218              83              76          0.5000;
    82    0.726             218             218              83              76          0.5000;
    83    0.735             217             217              84              77          0.5000;
    84    0.744             217             217              84              78          0.5000;
    85    0.753             217             217              85              78          0.5000;
    86    0.761             217             217              86              79          0.5000;
    87    0.770             218             218              87              80          0.5000;
    88    0.779             218             218              87              80          0.5000;
    89    0.788             219             219              87              80          0.5000;
    90    0.797             220             220              87              80          0.5000;
    91    0.806             220             220              86              80          0.5000;
    92    0.815             221             221              86              80          0.5000;
    93    0.823             221             221              86              80          0.5000;
    94    0.832             221             221              86              80          0.5000;
    95    0.841             221             221              86              80          0.5000;
    96    0.850             221             221              87              80          0.5000;
    97    0.859             221             221              87              80          0.5000;
    98    0.868             221             221              87              80          0.5000;
    99    0.877             221             221              87              81          0.5000;
   100    0.885             221             220              87              81          0.5000;
   101    0.894             220             220              88              81          0.5000;
   102    0.903             220             220              88              81          0.5000;
   103    0.912             220             220              88              82          0.5000;
   104    0.921             220             220              89              82          0.5000;
   105    0.930             220             220              89              82          0.5000;
   106    0.939             220             221              90              83          0.5000;
   107    0.947             221             221              90              83          0.5000;
