SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,5.0000E+01,8.3000E+02,-8.4671E+00,-1.5917E+02,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,5.0000E+01,8.4500E+02,-8.2058E+00,-1.6835E+02,2.2252E-03,1.9941E-02,0.0000E+00,4.0000E+00,3.2125E-03,-2.9279E-02,9.7038E-02,7.3852E-04
2,5.0000E+01,8.6000E+02,-8.1879E+00,-1.6698E+02,2.5102E-03,7.6344E-03,0.0000E+00,4.0000E+00,3.6744E-03,-3.1764E-02,7.6951E-02,4.4502E-03
3,5.0000E+01,8.7500E+02,-8.1739E+00,-1.6604E+02,2.4220E-03,8.6432E-03,0.0000E+00,4.0000E+00,3.5346E-03,-3.1413E-02,6.4810E-02,1.8380E-03
4,5.0000E+01,8.9000E+02,-8.2040E+00,-1.6508E+02,2.7462E-03,7.7053E-03,0.0000E+00,4.0000E+00,4.2058E-03,-3.1105E-02,6.5533E-02,1.3688E-03
5,5.0000E+01,9.0500E+02,-8.1762E+00,-1.6412E+02,2.6248E-03,1.0292E-02,0.0000E+00,4.0000E+00,4.0219E-03,-3.0358E-02,6.5884E-02,1.0204E-03
6,5.0000E+01,9.2000E+02,-8.1809E+00,-1.6314E+02,2.6249E-03,1.0440E-02,0.0000E+00,4.0000E+00,4.0033E-03,-3.0661E-02,6.5551E-02,1.1918E-03
7,5.0000E+01,9.3500E+02,-8.1167E+00,-1.6221E+02,2.6036E-03,9.3063E-03,0.0000E+00,4.0000E+00,3.9837E-03,-3.0609E-02,6.4660E-02,1.1694E-03
8,5.0000E+01,9.5000E+02,-8.0975E+00,-1.6126E+02,2.5686E-03,8.5495E-03,0.0000E+00,4.0000E+00,3.8454E-03,-3.0965E-02,6.5377E-02,8.4115E-04
9,5.0000E+01,9.6500E+02,-8.0848E+00,-1.6031E+02,2.5133E-03,8.2213E-03,0.0000E+00,4.0000E+00,3.8450E-03,-3.1331E-02,6.5629E-02,5.9248E-04
10,5.0000E+01,9.8000E+02,-8.0542E+00,-1.5935E+02,2.5519E-03,9.6311E-03,0.0000E+00,4.0000E+00,3.8607E-03,-3.1927E-02,6.4992E-02,2.2758E-04
11,5.0000E+01,9.9500E+02,-8.0392E+00,-1.5840E+02,2.6747E-03,8.5883E-03,0.0000E+00,4.0000E+00,4.0351E-03,-3.2361E-02,6.3508E-02,5.8862E-05
12,5.0000E+01,1.0100E+03,-8.0277E+00,-1.5751E+02,2.6525E-03,9.0881E-03,0.0000E+00,4.0000E+00,3.9578E-03,-3.2385E-02,6.2736E-02,6.6346E-04
13,5.0000E+01,1.0250E+03,-8.0119E+00,-1.5660E+02,2.8047E-03,9.0800E-03,0.0000E+00,4.0000E+00,4.2114E-03,-3.2093E-02,6.4161E-02,9.0854E-04
14,5.0000E+01,1.0400E+03,-8.0205E+00,-1.5566E+02,2.6599E-03,9.5273E-03,0.0000E+00,4.0000E+00,4.0705E-03,-3.1330E-02,6.5298E-02,8.5039E-04
15,5.0000E+01,1.0550E+03,-8.0315E+00,-1.5469E+02,2.5607E-03,1.0540E-02,0.0000E+00,4.0000E+00,3.9915E-03,-3.0729E-02,6.5086E-02,7.0503E-04
16,5.0000E+01,1.0700E+03,-8.0177E+00,-1.5374E+02,2.7153E-03,1.0516E-02,0.0000E+00,4.0000E+00,4.1856E-03,-3.0049E-02,6.5057E-02,3.3146E-04
17,5.0000E+01,1.0850E+03,-8.0079E+00,-1.5279E+02,2.8860E-03,9.6145E-03,0.0000E+00,4.0000E+00,4.4468E-03,-3.0419E-02,6.5060E-02,6.5464E-04
18,5.0000E+01,1.1000E+03,-7.9679E+00,-1.5186E+02,3.1202E-03,8.3285E-03,0.0000E+00,4.0000E+00,4.7700E-03,-3.0535E-02,6.4920E-02,9.3630E-04
19,5.0000E+01,1.1150E+03,-7.9503E+00,-1.5091E+02,3.0670E-03,6.9371E-03,0.0000E+00,4.0000E+00,4.6869E-03,-3.1189E-02,6.5233E-02,8.2760E-04
20,5.0000E+01,1.1300E+03,-7.9353E+00,-1.4997E+02,3.1711E-03,6.3881E-03,0.0000E+00,4.0000E+00,4.8770E-03,-3.1235E-02,6.5524E-02,4.7465E-04
21,5.0000E+01,1.1450E+03,-7.9320E+00,-1.4899E+02,2.9013E-03,5.9143E-03,0.0000E+00,4.0000E+00,4.4061E-03,-3.0627E-02,6.5768E-02,-5.8088E-04
22,5.0000E+01,1.1600E+03,-7.9697E+00,-1.4802E+02,2.7723E-03,5.6044E-03,0.0000E+00,4.0000E+00,4.2094E-03,-2.9588E-02,6.4752E-02,-6.7198E-04
23,5.0000E+01,1.1750E+03,-7.9212E+00,-1.4710E+02,2.4037E-03,5.2585E-03,0.0000E+00,4.0000E+00,3.5423E-03,-2.9314E-02,6.4059E-02,-9.1003E-05
24,5.0000E+01,1.1900E+03,-7.8939E+00,-1.4618E+02,2.6154E-03,5.9456E-03,0.0000E+00,4.0000E+00,3.8374E-03,-3.0543E-02,6.4733E-02,6.6963E-04
25,5.0000E+01,1.2050E+03,-7.8187E+00,-1.4524E+02,2.7590E-03,5.6151E-03,0.0000E+00,4.0000E+00,4.0422E-03,-3.1838E-02,6.5969E-02,1.0875E-03
26,5.0000E+01,1.2200E+03,-7.8132E+00,-1.4427E+02,2.7210E-03,6.5846E-03,0.0000E+00,4.0000E+00,4.0242E-03,-3.2431E-02,6.4795E-02,3.7756E-04
27,5.0000E+01,1.2350E+03,-7.8335E+00,-1.4336E+02,2.8852E-03,6.2025E-03,0.0000E+00,4.0000E+00,4.2407E-03,-3.2196E-02,6.3213E-02,3.4190E-04
28,5.0000E+01,1.2500E+03,-7.8262E+00,-1.4243E+02,3.1061E-03,6.4209E-03,0.0000E+00,4.0000E+00,4.6209E-03,-3.1634E-02,6.1537E-02,9.0937E-04
29,5.0000E+01,1.2650E+03,-7.8353E+00,-1.4158E+02,3.5634E-03,6.2066E-03,0.0000E+00,4.0000E+00,5.5178E-03,-3.0795E-02,6.1197E-02,1.4962E-03
30,5.0000E+01,1.2800E+03,-7.8188E+00,-1.4066E+02,3.2977E-03,6.3606E-03,0.0000E+00,4.0000E+00,5.2094E-03,-2.9615E-02,6.4255E-02,2.8114E-03
31,5.0000E+01,1.2950E+03,-7.7832E+00,-1.3971E+02,3.1597E-03,6.7989E-03,0.0000E+00,4.0000E+00,4.9838E-03,-2.8756E-02,6.7300E-02,2.2032E-03
